

Performance Summary

,All Trades,Long Trades,Short Trades,
28,Sell Short,5/27/2020 13:30,Short,$2496,$0.00,1,($670.00),-2.68%,$90.00,11.11%,,$0.00,$0.00
,Buy to Cover,5/28/2020 13:30,Buy,$2563,,($670.00),$7280.00,,($720.00),6.17%,-82.72%,$0.00,$0.00
29,Buy,5/28/2020 13:30,Buy,$2563,$0.00,1,($1000.00),-3.90%,$900.00,47.37%,,$0.00,$0.00
,Sell,6/11/2020 13:30,Stop Loss,$2463,,($1000.00),$6280.00,,($1000.00),0.00%,-52.63%,$0.00,$0.00
30,Sell Short,7/6/2020 10:43,Short,$2342,$0.00,1,$230.00,0.98%,$660.00,62.86%,,$0.00,$0.00
,Buy to Cover,7/16/2020 10:43,Buy,$2319,,$230.00,$6510.00,,($390.00),59.05%,21.90%,$0.00,$0.00
31,Buy,7/16/2020 10:43,Buy,$2319,$0.00,1,$2000.00,8.62%,$2000.00,90.91%,,$0.00,$0.00
,Sell,7/29/2020 10:43,Profit Target,$2519,,$2000.00,$8510.00,,($200.00),100.00%,90.91%,$0.00,$0.00
32,Sell Short,8/17/2020 10:43,Short,$2653,$0.00,1,($1000.00),-3.77%,$910.00,47.64%,,$0.00,$0.00
,Buy to Cover,8/27/2020 10:43,Stop Loss,$2753,,($1000.00),$7510.00,,($1000.00),0.00%,-52.36%,$0.00,$0.00
33,Sell Short,9/3/2020 13:30,Short,$2869,$0.00,1,$370.00,1.29%,$1410.00,79.66%,,$0.00,$0.00
,Buy to Cover,9/17/2020 13:30,Buy,$2832,,$370.00,$7880.00,,($360.00),41.24%,20.90%,$0.00,$0.00
34,Buy,9/17/2020 13:30,Buy,$2832,$0.00,1,($50.00),-0.18%,$820.00,73.21%,,$0.00,$0.00
,Sell,9/21/2020 13:30,Short,$2827,,($50.00),$7830.00,,($300.00),22.32%,-4.46%,$0.00,$0.00
35,Sell Short,9/21/2020 13:30,Short,$2827,$0.00,1,$2000.00,7.07%,$2000.00,87.34%,,$0.00,$0.00
,Buy to Cover,10/6/2020 10:43,Profit Target,$2627,,$2000.00,$9830.00,,($290.00),100.00%,87.34%,$0.00,$0.00
36,Buy,10/8/2020 10:43,Buy,$2672,$0.00,1,($1000.00),-3.74%,$270.00,21.26%,,$0.00,$0.00
,Sell,10/14/2020 10:43,Stop Loss,$2572,,($1000.00),$8830.00,,($1000.00),0.00%,-78.74%,$0.00,$0.00
37,Sell Short,11/30/2020 10:43,Short,$2962,$0.00,1,$2000.00,6.75%,$2000.00,96.15%,,$0.00,$0.00
,Buy to Cover,12/8/2020 10:43,Profit Target,$2762,,$2000.00,$10830.00,,($80.00),100.00%,96.15%,$0.00,$0.00
38,Sell Short,12/18/2020 13:30,Short,$2718,$0.00,1,($630.00),-2.32%,$770.00,55.00%,,$0.00,$0.00
,Buy to Cover,12/22/2020 10:43,Buy,$2781,,($630.00),$10200.00,,($630.00),0.00%,-45.00%,$0.00,$0.00
39,Buy,12/22/2020 10:43,Buy,$2781,$0.00,1,($1000.00),-3.60%,$820.00,45.05%,,$0.00,$0.00
,Sell,1/6/2021 10:43,Stop Loss,$2681,,($1000.00),$9200.00,,($1000.00),0.00%,-54.95%,$0.00,$0.00
40,Buy,2/10/2021 13:30,Buy,$2806,$0.00,1,($1000.00),-3.56%,$480.00,32.43%,,$0.00,$0.00
,Sell,2/17/2021 13:30,Stop Loss,$2706,,($1000.00),$8200.00,,($1000.00),0.00%,-67.57%,$0.00,$0.00
