

Performance Summary

,All Trades,Long Trades,Short Trades,
12/31/2021 - 5/12/2023,($4250.00),-3.93%,0.50,14,21.43%,
12/30/2021 - 5/12/2023,($4890.00),-4.50%,0.47,15,20.00%,
12/29/2021 - 5/12/2023,($5160.00),-4.73%,0.45,15,20.00%,
12/28/2021 - 5/12/2023,($5280.00),-4.84%,0.45,15,20.00%,
12/27/2021 - 5/12/2023,($5380.00),-4.92%,0.44,15,20.00%,
12/26/2021 - 5/12/2023,($5380.00),-4.92%,0.44,15,20.00%,
12/25/2021 - 5/12/2023,($5380.00),-4.92%,0.44,15,20.00%,
12/24/2021 - 5/12/2023,($5380.00),-4.92%,0.44,15,20.00%,
12/23/2021 - 5/12/2023,($5200.00),-4.77%,0.45,16,25.00%,
12/22/2021 - 5/12/2023,($5220.00),-4.79%,0.45,16,25.00%,
12/21/2021 - 5/12/2023,($4730.00),-4.36%,0.50,16,25.00%,
12/20/2021 - 5/12/2023,($5410.00),-4.95%,0.44,16,18.75%,
12/19/2021 - 5/12/2023,($5410.00),-4.95%,0.44,16,18.75%,
12/18/2021 - 5/12/2023,($5410.00),-4.95%,0.44,16,18.75%,
12/17/2021 - 5/12/2023,($5980.00),-5.44%,0.42,16,18.75%,
12/16/2021 - 5/12/2023,($6010.00),-5.47%,0.42,16,18.75%,
12/15/2021 - 5/12/2023,($5660.00),-5.17%,0.43,16,18.75%,
12/14/2021 - 5/12/2023,($5810.00),-5.30%,0.42,16,18.75%,
12/13/2021 - 5/12/2023,($5140.00),-4.72%,0.46,16,25.00%,
12/12/2021 - 5/12/2023,($5140.00),-4.72%,0.46,16,25.00%,
12/11/2021 - 5/12/2023,($5140.00),-4.72%,0.46,16,25.00%,
12/10/2021 - 5/12/2023,($5160.00),-4.73%,0.46,16,25.00%,
12/9/2021 - 5/12/2023,($5360.00),-4.91%,0.44,16,18.75%,
12/8/2021 - 5/12/2023,($5430.00),-4.97%,0.44,16,18.75%,
12/7/2021 - 5/12/2023,($5160.00),-4.73%,0.46,16,25.00%,
12/6/2021 - 5/12/2023,($5180.00),-4.75%,0.46,16,25.00%,
12/5/2021 - 5/12/2023,($5180.00),-4.75%,0.46,16,25.00%,
12/4/2021 - 5/12/2023,($5180.00),-4.75%,0.46,16,25.00%,
12/3/2021 - 5/12/2023,($4940.00),-4.54%,0.48,16,25.00%,
12/2/2021 - 5/12/2023,($4920.00),-4.52%,0.48,16,25.00%,
12/1/2021 - 5/12/2023,($4920.00),-4.52%,0.48,16,25.00%,
11/30/2021 - 5/12/2023,($4920.00),-4.52%,0.48,16,25.00%,
11/29/2021 - 5/12/2023,($5070.00),-4.65%,0.48,17,23.53%,
11/28/2021 - 5/12/2023,($5070.00),-4.65%,0.48,17,23.53%,
11/27/2021 - 5/12/2023,($5070.00),-4.65%,0.48,17,23.53%,
11/26/2021 - 5/12/2023,($6190.00),-5.62%,0.43,17,23.53%,
11/25/2021 - 5/12/2023,($6190.00),-5.62%,0.43,17,23.53%,
11/24/2021 - 5/12/2023,($6850.00),-6.19%,0.40,17,23.53%,
11/23/2021 - 5/12/2023,($7060.00),-6.36%,0.39,17,23.53%,
11/22/2021 - 5/12/2023,($7090.00),-6.39%,0.39,17,23.53%,
11/21/2021 - 5/12/2023,($7090.00),-6.39%,0.39,17,23.53%,
11/20/2021 - 5/12/2023,($7090.00),-6.39%,0.39,17,23.53%,
11/19/2021 - 5/12/2023,($7000.00),-6.31%,0.40,17,23.53%,
11/18/2021 - 5/12/2023,($6910.00),-6.24%,0.40,17,23.53%,
11/17/2021 - 5/12/2023,($6780.00),-6.13%,0.40,17,23.53%,
11/16/2021 - 5/12/2023,($6530.00),-5.92%,0.41,17,23.53%,
11/15/2021 - 5/12/2023,($6420.00),-5.82%,0.42,17,23.53%,
11/14/2021 - 5/12/2023,($6420.00),-5.82%,0.42,17,23.53%,
11/13/2021 - 5/12/2023,($6420.00),-5.82%,0.42,17,23.53%,
11/12/2021 - 5/12/2023,($6500.00),-5.89%,0.41,17,23.53%,
11/11/2021 - 5/12/2023,($6320.00),-5.74%,0.42,17,23.53%,
11/10/2021 - 5/12/2023,($5920.00),-5.39%,0.44,17,23.53%,
11/9/2021 - 5/12/2023,($5920.00),-5.39%,0.44,17,23.53%,
11/8/2021 - 5/12/2023,($5920.00),-5.39%,0.44,17,23.53%,
11/7/2021 - 5/12/2023,($5920.00),-5.39%,0.44,17,23.53%,
11/6/2021 - 5/12/2023,($5920.00),-5.39%,0.44,17,23.53%,
11/5/2021 - 5/12/2023,($5920.00),-5.39%,0.44,17,23.53%,
11/4/2021 - 5/12/2023,($5920.00),-5.39%,0.44,17,23.53%,
11/3/2021 - 5/12/2023,($5920.00),-5.39%,0.44,17,23.53%,
11/2/2021 - 5/12/2023,($5270.00),-4.83%,0.50,18,27.78%,
11/1/2021 - 5/12/2023,($5360.00),-4.91%,0.49,18,27.78%,
10/31/2021 - 5/12/2023,($5360.00),-4.91%,0.49,18,27.78%,
10/30/2021 - 5/12/2023,($5360.00),-4.91%,0.49,18,27.78%,
10/29/2021 - 5/12/2023,($5160.00),-4.73%,0.51,18,27.78%,
10/28/2021 - 5/12/2023,($4860.00),-4.47%,0.54,18,27.78%,
10/27/2021 - 5/12/2023,($4940.00),-4.54%,0.53,18,27.78%,
10/26/2021 - 5/12/2023,($4850.00),-4.46%,0.54,18,27.78%,
10/25/2021 - 5/12/2023,($4940.00),-4.54%,0.53,18,27.78%,
10/24/2021 - 5/12/2023,($4940.00),-4.54%,0.53,18,27.78%,
10/23/2021 - 5/12/2023,($4940.00),-4.54%,0.53,18,27.78%,
10/22/2021 - 5/12/2023,($5240.00),-4.80%,0.50,18,27.78%,
10/21/2021 - 5/12/2023,($5770.00),-5.26%,0.45,18,27.78%,
10/20/2021 - 5/12/2023,($5450.00),-4.99%,0.48,18,27.78%,
10/19/2021 - 5/12/2023,($4610.00),-4.25%,0.56,18,27.78%,
10/18/2021 - 5/12/2023,($4750.00),-4.37%,0.55,18,27.78%,
10/17/2021 - 5/12/2023,($4750.00),-4.37%,0.55,18,27.78%,
10/16/2021 - 5/12/2023,($4750.00),-4.37%,0.55,18,27.78%,
10/15/2021 - 5/12/2023,($5080.00),-4.66%,0.52,18,27.78%,
10/14/2021 - 5/12/2023,($4920.00),-4.52%,0.53,18,27.78%,
10/13/2021 - 5/12/2023,($4110.00),-3.81%,0.61,18,27.78%,
10/12/2021 - 5/12/2023,($4030.00),-3.74%,0.62,18,27.78%,
10/11/2021 - 5/12/2023,($4560.00),-4.21%,0.59,19,26.32%,
10/10/2021 - 5/12/2023,($4560.00),-4.21%,0.59,19,26.32%,
10/9/2021 - 5/12/2023,($4560.00),-4.21%,0.59,19,26.32%,
10/8/2021 - 5/12/2023,($4340.00),-4.01%,0.60,19,26.32%,
10/7/2021 - 5/12/2023,($4210.00),-3.90%,0.61,19,26.32%,
10/6/2021 - 5/12/2023,($4670.00),-4.30%,0.59,19,26.32%,
10/5/2021 - 5/12/2023,($4520.00),-4.17%,0.59,19,26.32%,
10/4/2021 - 5/12/2023,($4100.00),-3.80%,0.62,19,26.32%,
10/3/2021 - 5/12/2023,($4100.00),-3.80%,0.62,19,26.32%,
10/2/2021 - 5/12/2023,($4100.00),-3.80%,0.62,19,26.32%,
10/1/2021 - 5/12/2023,($3390.00),-3.16%,0.68,19,31.58%,
9/30/2021 - 5/12/2023,($2960.00),-2.77%,0.72,19,31.58%,
9/29/2021 - 5/12/2023,($2590.00),-2.43%,0.75,19,31.58%,
9/28/2021 - 5/12/2023,($2480.00),-2.33%,0.76,19,31.58%,
9/27/2021 - 5/12/2023,($2840.00),-2.66%,0.73,19,31.58%,
9/26/2021 - 5/12/2023,($2840.00),-2.66%,0.73,19,31.58%,
9/25/2021 - 5/12/2023,($2840.00),-2.66%,0.73,19,31.58%,
9/24/2021 - 5/12/2023,($3160.00),-2.95%,0.70,19,31.58%,
9/23/2021 - 5/12/2023,($3510.00),-3.27%,0.67,19,31.58%,
9/22/2021 - 5/12/2023,($3110.00),-2.91%,0.70,19,31.58%,
9/21/2021 - 5/12/2023,($3040.00),-2.84%,0.71,19,31.58%,
9/20/2021 - 5/12/2023,($3600.00),-3.35%,0.66,19,31.58%,
9/19/2021 - 5/12/2023,($3600.00),-3.35%,0.66,19,31.58%,
9/18/2021 - 5/12/2023,($3600.00),-3.35%,0.66,19,31.58%,
9/17/2021 - 5/12/2023,($3470.00),-3.23%,0.67,19,31.58%,
9/16/2021 - 5/12/2023,($3640.00),-3.39%,0.65,19,31.58%,
9/15/2021 - 5/12/2023,($3560.00),-3.31%,0.66,19,31.58%,
9/14/2021 - 5/12/2023,($3380.00),-3.15%,0.68,19,31.58%,
9/13/2021 - 5/12/2023,($3090.00),-2.89%,0.71,19,31.58%,
9/12/2021 - 5/12/2023,($3090.00),-2.89%,0.71,19,31.58%,
9/11/2021 - 5/12/2023,($3090.00),-2.89%,0.71,19,31.58%,
9/10/2021 - 5/12/2023,($3760.00),-3.49%,0.64,19,31.58%,
9/9/2021 - 5/12/2023,($3940.00),-3.65%,0.63,19,26.32%,
9/8/2021 - 5/12/2023,($4050.00),-3.75%,0.62,19,26.32%,
9/7/2021 - 5/12/2023,($3470.00),-3.23%,0.67,19,31.58%,
9/6/2021 - 5/12/2023,($3470.00),-3.23%,0.67,19,31.58%,
9/5/2021 - 5/12/2023,($3470.00),-3.23%,0.67,19,31.58%,
9/4/2021 - 5/12/2023,($3470.00),-3.23%,0.67,19,31.58%,
9/3/2021 - 5/12/2023,($3170.00),-2.96%,0.70,19,31.58%,
9/2/2021 - 5/12/2023,($3760.00),-3.49%,0.67,20,30.00%,
9/1/2021 - 5/12/2023,($3630.00),-3.38%,0.67,20,30.00%,
8/31/2021 - 5/12/2023,($3010.00),-2.82%,0.71,20,30.00%,
8/30/2021 - 5/12/2023,($3280.00),-3.06%,0.70,20,30.00%,
8/29/2021 - 5/12/2023,($3280.00),-3.06%,0.70,20,30.00%,
8/28/2021 - 5/12/2023,($3280.00),-3.06%,0.70,20,30.00%,
8/27/2021 - 5/12/2023,($2800.00),-2.63%,0.73,20,35.00%,
8/26/2021 - 5/12/2023,($2880.00),-2.70%,0.73,20,35.00%,
8/25/2021 - 5/12/2023,($3140.00),-2.93%,0.71,20,30.00%,
8/24/2021 - 5/12/2023,($3540.00),-3.30%,0.68,20,30.00%,
8/23/2021 - 5/12/2023,($3410.00),-3.18%,0.69,20,30.00%,
8/22/2021 - 5/12/2023,($3410.00),-3.18%,0.69,20,30.00%,
8/21/2021 - 5/12/2023,($3410.00),-3.18%,0.69,20,30.00%,
8/20/2021 - 5/12/2023,($2710.00),-2.54%,0.74,20,35.00%,
8/19/2021 - 5/12/2023,($2730.00),-2.56%,0.74,20,35.00%,
8/18/2021 - 5/12/2023,($2730.00),-2.56%,0.74,20,35.00%,
8/17/2021 - 5/12/2023,($2730.00),-2.56%,0.74,20,35.00%,
8/16/2021 - 5/12/2023,($2730.00),-2.56%,0.74,20,35.00%,
8/15/2021 - 5/12/2023,($2730.00),-2.56%,0.74,20,35.00%,
8/14/2021 - 5/12/2023,($2730.00),-2.56%,0.74,20,35.00%,
8/13/2021 - 5/12/2023,($2730.00),-2.56%,0.74,20,35.00%,
8/12/2021 - 5/12/2023,($2730.00),-2.56%,0.74,20,35.00%,
8/11/2021 - 5/12/2023,($2730.00),-2.56%,0.74,20,35.00%,
8/10/2021 - 5/12/2023,($2730.00),-2.56%,0.74,20,35.00%,
8/9/2021 - 5/12/2023,($2730.00),-2.56%,0.74,20,35.00%,
8/8/2021 - 5/12/2023,($2730.00),-2.56%,0.74,20,35.00%,
8/7/2021 - 5/12/2023,($2730.00),-2.56%,0.74,20,35.00%,
8/6/2021 - 5/12/2023,($2730.00),-2.56%,0.74,20,35.00%,
8/5/2021 - 5/12/2023,($2730.00),-2.56%,0.74,20,35.00%,
8/4/2021 - 5/12/2023,($2730.00),-2.56%,0.74,20,35.00%,
8/3/2021 - 5/12/2023,($2730.00),-2.56%,0.74,20,35.00%,
8/2/2021 - 5/12/2023,($2730.00),-2.56%,0.74,20,35.00%,
8/1/2021 - 5/12/2023,($2730.00),-2.56%,0.74,20,35.00%,
7/31/2021 - 5/12/2023,($2730.00),-2.56%,0.74,20,35.00%,
7/30/2021 - 5/12/2023,($2730.00),-2.56%,0.74,20,35.00%,
7/29/2021 - 5/12/2023,($2730.00),-2.56%,0.74,20,35.00%,
7/28/2021 - 5/12/2023,($2730.00),-2.56%,0.74,20,35.00%,
7/27/2021 - 5/12/2023,($2730.00),-2.56%,0.74,20,35.00%,
7/26/2021 - 5/12/2023,($3180.00),-2.97%,0.71,21,33.33%,
7/25/2021 - 5/12/2023,($3180.00),-2.97%,0.71,21,33.33%,
7/24/2021 - 5/12/2023,($3180.00),-2.97%,0.71,21,33.33%,
7/23/2021 - 5/12/2023,($3240.00),-3.03%,0.71,21,33.33%,
7/22/2021 - 5/12/2023,($3730.00),-3.47%,0.68,21,33.33%,
7/21/2021 - 5/12/2023,($3730.00),-3.47%,0.68,21,33.33%,
7/20/2021 - 5/12/2023,($3730.00),-3.47%,0.68,21,33.33%,
7/19/2021 - 5/12/2023,($3730.00),-3.47%,0.68,21,33.33%,
7/18/2021 - 5/12/2023,($3730.00),-3.47%,0.68,21,33.33%,
7/17/2021 - 5/12/2023,($3730.00),-3.47%,0.68,21,33.33%,
7/16/2021 - 5/12/2023,($3730.00),-3.47%,0.68,21,33.33%,
7/15/2021 - 5/12/2023,($3730.00),-3.47%,0.68,21,33.33%,
7/14/2021 - 5/12/2023,($3730.00),-3.47%,0.68,21,33.33%,
7/13/2021 - 5/12/2023,($3730.00),-3.47%,0.68,21,33.33%,
7/12/2021 - 5/12/2023,($3730.00),-3.47%,0.68,21,33.33%,
7/11/2021 - 5/12/2023,($3730.00),-3.47%,0.68,21,33.33%,
7/10/2021 - 5/12/2023,($3730.00),-3.47%,0.68,21,33.33%,
7/9/2021 - 5/12/2023,($3730.00),-3.47%,0.68,21,33.33%,
7/8/2021 - 5/12/2023,($3730.00),-3.47%,0.68,21,33.33%,
7/7/2021 - 5/12/2023,($3730.00),-3.47%,0.68,21,33.33%,
7/6/2021 - 5/12/2023,($3830.00),-3.56%,0.67,22,31.82%,
7/5/2021 - 5/12/2023,($3830.00),-3.56%,0.67,22,31.82%,
7/4/2021 - 5/12/2023,($3830.00),-3.56%,0.67,22,31.82%,
7/3/2021 - 5/12/2023,($3830.00),-3.56%,0.67,22,31.82%,
7/2/2021 - 5/12/2023,($4250.00),-3.93%,0.65,22,31.82%,
7/1/2021 - 5/12/2023,($4520.00),-4.17%,0.63,22,31.82%,
6/30/2021 - 5/12/2023,($4520.00),-4.17%,0.63,22,31.82%,
6/29/2021 - 5/12/2023,($4500.00),-4.15%,0.63,22,31.82%,
6/28/2021 - 5/12/2023,($4420.00),-4.08%,0.64,22,31.82%,
6/27/2021 - 5/12/2023,($4420.00),-4.08%,0.64,22,31.82%,
6/26/2021 - 5/12/2023,($4420.00),-4.08%,0.64,22,31.82%,
6/25/2021 - 5/12/2023,($4140.00),-3.83%,0.65,22,31.82%,
6/24/2021 - 5/12/2023,($4290.00),-3.97%,0.64,22,31.82%,
6/23/2021 - 5/12/2023,($4590.00),-4.23%,0.63,22,31.82%,
6/22/2021 - 5/12/2023,($4420.00),-4.08%,0.64,22,31.82%,
6/21/2021 - 5/12/2023,($4310.00),-3.98%,0.64,22,31.82%,
6/20/2021 - 5/12/2023,($4310.00),-3.98%,0.64,22,31.82%,
6/19/2021 - 5/12/2023,($4310.00),-3.98%,0.64,22,31.82%,
6/18/2021 - 5/12/2023,($4420.00),-4.08%,0.64,22,31.82%,
6/17/2021 - 5/12/2023,($4730.00),-4.36%,0.62,22,31.82%,
6/16/2021 - 5/12/2023,($4730.00),-4.36%,0.62,22,31.82%,
6/15/2021 - 5/12/2023,($4730.00),-4.36%,0.62,22,31.82%,
6/14/2021 - 5/12/2023,($4730.00),-4.36%,0.62,22,31.82%,
6/13/2021 - 5/12/2023,($4730.00),-4.36%,0.62,22,31.82%,
6/12/2021 - 5/12/2023,($4730.00),-4.36%,0.62,22,31.82%,
6/11/2021 - 5/12/2023,($4730.00),-4.36%,0.62,22,31.82%,
6/10/2021 - 5/12/2023,($4730.00),-4.36%,0.62,22,31.82%,
6/9/2021 - 5/12/2023,($4730.00),-4.36%,0.62,22,31.82%,
6/8/2021 - 5/12/2023,($4730.00),-4.36%,0.62,22,31.82%,
6/7/2021 - 5/12/2023,($4730.00),-4.36%,0.62,22,31.82%,
6/6/2021 - 5/12/2023,($4730.00),-4.36%,0.62,22,31.82%,
6/5/2021 - 5/12/2023,($4730.00),-4.36%,0.62,22,31.82%,
6/4/2021 - 5/12/2023,($4730.00),-4.36%,0.62,22,31.82%,
6/3/2021 - 5/12/2023,($4730.00),-4.36%,0.62,22,31.82%,
6/2/2021 - 5/12/2023,($4730.00),-4.36%,0.62,22,31.82%,
6/1/2021 - 5/12/2023,($4730.00),-4.36%,0.62,22,31.82%,
5/31/2021 - 5/12/2023,($4730.00),-4.36%,0.62,22,31.82%,
5/30/2021 - 5/12/2023,($4730.00),-4.36%,0.62,22,31.82%,
5/29/2021 - 5/12/2023,($4730.00),-4.36%,0.62,22,31.82%,
5/28/2021 - 5/12/2023,($4730.00),-4.36%,0.62,22,31.82%,
5/27/2021 - 5/12/2023,($4730.00),-4.36%,0.62,22,31.82%,
5/26/2021 - 5/12/2023,($4730.00),-4.36%,0.62,22,31.82%,
5/25/2021 - 5/12/2023,($4730.00),-4.36%,0.62,22,31.82%,
5/24/2021 - 5/12/2023,($5230.00),-4.79%,0.60,23,30.43%,
5/23/2021 - 5/12/2023,($5230.00),-4.79%,0.60,23,30.43%,
5/22/2021 - 5/12/2023,($5230.00),-4.79%,0.60,23,30.43%,
5/21/2021 - 5/12/2023,($5120.00),-4.70%,0.60,23,30.43%,
5/20/2021 - 5/12/2023,($5400.00),-4.94%,0.59,23,30.43%,
5/19/2021 - 5/12/2023,($5790.00),-5.28%,0.57,23,30.43%,
5/18/2021 - 5/12/2023,($5850.00),-5.33%,0.57,23,30.43%,
5/17/2021 - 5/12/2023,($5520.00),-5.05%,0.59,23,30.43%,
5/16/2021 - 5/12/2023,($5520.00),-5.05%,0.59,23,30.43%,
5/15/2021 - 5/12/2023,($5520.00),-5.05%,0.59,23,30.43%,
5/14/2021 - 5/12/2023,($5600.00),-5.12%,0.58,23,30.43%,
5/13/2021 - 5/12/2023,($5860.00),-5.34%,0.57,23,30.43%,
5/12/2021 - 5/12/2023,($6150.00),-5.59%,0.56,24,29.17%,
5/11/2021 - 5/12/2023,($5830.00),-5.31%,0.57,24,29.17%,
5/10/2021 - 5/12/2023,($6100.00),-5.55%,0.56,24,29.17%,
5/9/2021 - 5/12/2023,($6100.00),-5.55%,0.56,24,29.17%,
5/8/2021 - 5/12/2023,($6100.00),-5.55%,0.56,24,29.17%,
5/7/2021 - 5/12/2023,($6650.00),-6.02%,0.54,24,29.17%,
5/6/2021 - 5/12/2023,($6840.00),-6.18%,0.53,24,29.17%,
5/5/2021 - 5/12/2023,($7430.00),-6.68%,0.51,24,29.17%,
5/4/2021 - 5/12/2023,($7130.00),-6.42%,0.52,24,29.17%,
5/3/2021 - 5/12/2023,($6990.00),-6.31%,0.53,24,29.17%,
5/2/2021 - 5/12/2023,($6990.00),-6.31%,0.53,24,29.17%,
5/1/2021 - 5/12/2023,($6990.00),-6.31%,0.53,24,29.17%,
4/30/2021 - 5/12/2023,($5820.00),-5.31%,0.57,24,29.17%,
4/29/2021 - 5/12/2023,($6010.00),-5.47%,0.56,24,29.17%,
4/28/2021 - 5/12/2023,($6080.00),-5.53%,0.56,24,29.17%,
4/27/2021 - 5/12/2023,($5910.00),-5.38%,0.57,24,29.17%,
4/26/2021 - 5/12/2023,($6270.00),-5.69%,0.55,24,29.17%,
4/25/2021 - 5/12/2023,($6270.00),-5.69%,0.55,24,29.17%,
4/24/2021 - 5/12/2023,($6270.00),-5.69%,0.55,24,29.17%,
4/23/2021 - 5/12/2023,($6350.00),-5.76%,0.55,24,29.17%,
4/22/2021 - 5/12/2023,($6400.00),-5.80%,0.55,24,29.17%,
4/21/2021 - 5/12/2023,($6540.00),-5.92%,0.54,24,29.17%,
4/20/2021 - 5/12/2023,($6960.00),-6.28%,0.53,25,28.00%,
4/19/2021 - 5/12/2023,($6560.00),-5.94%,0.54,25,28.00%,
4/18/2021 - 5/12/2023,($6560.00),-5.94%,0.54,25,28.00%,
4/17/2021 - 5/12/2023,($6560.00),-5.94%,0.54,25,28.00%,
4/16/2021 - 5/12/2023,($6620.00),-5.99%,0.54,25,28.00%,
4/15/2021 - 5/12/2023,($6520.00),-5.91%,0.54,25,28.00%,
4/14/2021 - 5/12/2023,($6270.00),-5.69%,0.56,25,32.00%,
4/13/2021 - 5/12/2023,($6180.00),-5.62%,0.56,25,32.00%,
4/12/2021 - 5/12/2023,($5940.00),-5.41%,0.58,25,32.00%,
4/11/2021 - 5/12/2023,($5940.00),-5.41%,0.58,25,32.00%,
4/10/2021 - 5/12/2023,($5940.00),-5.41%,0.58,25,32.00%,
4/9/2021 - 5/12/2023,($5910.00),-5.38%,0.58,25,32.00%,
4/8/2021 - 5/12/2023,($6250.00),-5.68%,0.56,25,32.00%,
4/7/2021 - 5/12/2023,($6370.00),-5.78%,0.55,25,32.00%,
4/6/2021 - 5/12/2023,($6340.00),-5.75%,0.55,25,32.00%,
4/5/2021 - 5/12/2023,($6340.00),-5.75%,0.55,25,32.00%,
4/4/2021 - 5/12/2023,($6340.00),-5.75%,0.55,25,32.00%,
4/3/2021 - 5/12/2023,($6340.00),-5.75%,0.55,25,32.00%,
4/2/2021 - 5/12/2023,($6340.00),-5.75%,0.55,25,32.00%,
4/1/2021 - 5/12/2023,($6340.00),-5.75%,0.55,25,32.00%,
3/31/2021 - 5/12/2023,($6340.00),-5.75%,0.55,25,32.00%,
3/30/2021 - 5/12/2023,($6340.00),-5.75%,0.55,25,32.00%,
3/29/2021 - 5/12/2023,($6340.00),-5.75%,0.55,25,32.00%,
3/28/2021 - 5/12/2023,($6340.00),-5.75%,0.55,25,32.00%,
3/27/2021 - 5/12/2023,($6340.00),-5.75%,0.55,25,32.00%,
3/26/2021 - 5/12/2023,($6340.00),-5.75%,0.55,25,32.00%,
3/25/2021 - 5/12/2023,($6340.00),-5.75%,0.55,25,32.00%,
3/24/2021 - 5/12/2023,($6240.00),-5.67%,0.56,26,34.62%,
3/23/2021 - 5/12/2023,($5570.00),-5.09%,0.61,26,34.62%,
3/22/2021 - 5/12/2023,($5910.00),-5.38%,0.58,26,34.62%,
3/21/2021 - 5/12/2023,($5910.00),-5.38%,0.58,26,34.62%,
3/20/2021 - 5/12/2023,($5910.00),-5.38%,0.58,26,34.62%,
3/19/2021 - 5/12/2023,($5310.00),-4.86%,0.63,26,34.62%,
3/18/2021 - 5/12/2023,($5590.00),-5.11%,0.61,26,34.62%,
3/17/2021 - 5/12/2023,($5380.00),-4.92%,0.62,26,34.62%,
3/16/2021 - 5/12/2023,($5400.00),-4.94%,0.62,26,34.62%,
3/15/2021 - 5/12/2023,($4860.00),-4.47%,0.66,26,34.62%,
3/14/2021 - 5/12/2023,($4860.00),-4.47%,0.66,26,34.62%,
3/13/2021 - 5/12/2023,($4860.00),-4.47%,0.66,26,34.62%,
3/12/2021 - 5/12/2023,($4900.00),-4.51%,0.65,26,34.62%,
3/11/2021 - 5/12/2023,($4860.00),-4.47%,0.66,26,34.62%,
3/10/2021 - 5/12/2023,($5200.00),-4.77%,0.63,26,34.62%,
3/9/2021 - 5/12/2023,($5370.00),-4.92%,0.62,26,34.62%,
3/8/2021 - 5/12/2023,($5180.00),-4.75%,0.64,26,34.62%,
3/7/2021 - 5/12/2023,($5180.00),-4.75%,0.64,26,34.62%,
3/6/2021 - 5/12/2023,($5180.00),-4.75%,0.64,26,34.62%,
3/5/2021 - 5/12/2023,($4760.00),-4.38%,0.66,26,34.62%,
3/4/2021 - 5/12/2023,($4340.00),-4.01%,0.69,26,34.62%,
3/3/2021 - 5/12/2023,($4340.00),-4.01%,0.69,26,34.62%,
3/2/2021 - 5/12/2023,($4340.00),-4.01%,0.69,26,34.62%,
3/1/2021 - 5/12/2023,($4340.00),-4.01%,0.69,26,34.62%,
2/28/2021 - 5/12/2023,($4340.00),-4.01%,0.69,26,34.62%,
2/27/2021 - 5/12/2023,($4340.00),-4.01%,0.69,26,34.62%,
2/26/2021 - 5/12/2023,($4340.00),-4.01%,0.69,26,34.62%,
2/25/2021 - 5/12/2023,($4340.00),-4.01%,0.69,26,34.62%,
2/24/2021 - 5/12/2023,($4340.00),-4.01%,0.69,26,34.62%,
2/23/2021 - 5/12/2023,($4340.00),-4.01%,0.69,26,34.62%,
2/22/2021 - 5/12/2023,($4340.00),-4.01%,0.69,26,34.62%,
2/21/2021 - 5/12/2023,($4340.00),-4.01%,0.69,26,34.62%,
2/20/2021 - 5/12/2023,($4340.00),-4.01%,0.69,26,34.62%,
2/19/2021 - 5/12/2023,($4340.00),-4.01%,0.69,26,34.62%,
2/18/2021 - 5/12/2023,($4340.00),-4.01%,0.69,26,34.62%,
2/17/2021 - 5/12/2023,($4820.00),-4.44%,0.67,27,33.33%,
2/16/2021 - 5/12/2023,($5080.00),-4.66%,0.66,27,33.33%,
2/15/2021 - 5/12/2023,($5080.00),-4.66%,0.66,27,33.33%,
2/14/2021 - 5/12/2023,($5080.00),-4.66%,0.66,27,33.33%,
2/13/2021 - 5/12/2023,($5080.00),-4.66%,0.66,27,33.33%,
2/12/2021 - 5/12/2023,($4950.00),-4.55%,0.67,27,33.33%,
2/11/2021 - 5/12/2023,($5770.00),-5.26%,0.63,27,33.33%,
2/10/2021 - 5/12/2023,($5340.00),-4.89%,0.65,27,33.33%,
2/9/2021 - 5/12/2023,($5340.00),-4.89%,0.65,27,33.33%,
2/8/2021 - 5/12/2023,($5340.00),-4.89%,0.65,27,33.33%,
2/7/2021 - 5/12/2023,($5340.00),-4.89%,0.65,27,33.33%,
2/6/2021 - 5/12/2023,($5340.00),-4.89%,0.65,27,33.33%,
2/5/2021 - 5/12/2023,($5340.00),-4.89%,0.65,27,33.33%,
2/4/2021 - 5/12/2023,($5340.00),-4.89%,0.65,27,33.33%,
2/3/2021 - 5/12/2023,($5340.00),-4.89%,0.65,27,33.33%,
2/2/2021 - 5/12/2023,($5340.00),-4.89%,0.65,27,33.33%,
2/1/2021 - 5/12/2023,($5340.00),-4.89%,0.65,27,33.33%,
1/31/2021 - 5/12/2023,($5340.00),-4.89%,0.65,27,33.33%,
1/30/2021 - 5/12/2023,($5340.00),-4.89%,0.65,27,33.33%,
1/29/2021 - 5/12/2023,($5340.00),-4.89%,0.65,27,33.33%,
1/28/2021 - 5/12/2023,($5340.00),-4.89%,0.65,27,33.33%,
1/27/2021 - 5/12/2023,($5340.00),-4.89%,0.65,27,33.33%,
1/26/2021 - 5/12/2023,($5340.00),-4.89%,0.65,27,33.33%,
1/25/2021 - 5/12/2023,($5340.00),-4.89%,0.65,27,33.33%,
1/24/2021 - 5/12/2023,($5340.00),-4.89%,0.65,27,33.33%,
1/23/2021 - 5/12/2023,($5340.00),-4.89%,0.65,27,33.33%,
1/22/2021 - 5/12/2023,($5340.00),-4.89%,0.65,27,33.33%,
1/21/2021 - 5/12/2023,($5340.00),-4.89%,0.65,27,33.33%,
1/20/2021 - 5/12/2023,($5340.00),-4.89%,0.65,27,33.33%,
1/19/2021 - 5/12/2023,($5340.00),-4.89%,0.65,27,33.33%,
1/18/2021 - 5/12/2023,($5340.00),-4.89%,0.65,27,33.33%,
1/17/2021 - 5/12/2023,($5340.00),-4.89%,0.65,27,33.33%,
