Performance Summary,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,All Trades,Long Trades,Short Trades,,,,,,,,,,,
,Sell,12/17/2018,Stop Loss,$2593.50,,($2500.00),($3835.00),,($2500.00),0.00%,-44.84%,$2.50,$12.50,
8,Buy,12/19/2018,LE,$2519.25,$0.00,1,($2530.00),-1.98%,$662.50,20.95%,,$2.50,$12.50,
,Sell,12/20/2018,Stop Loss,$2469.25,,($2500.00),($6365.00),,($2500.00),0.00%,-79.05%,$2.50,$12.50,
9,Buy,12/30/2018,LE,$2510.00,$0.00,1,($2530.00),-1.99%,$1287.50,33.99%,,$2.50,$12.50,
,Sell,01/03/2019,Stop Loss,$2460.00,,($2500.00),($8895.00),,($2500.00),0.00%,-66.01%,$2.50,$12.50,
10,Buy,01/03/2019,LE,$2466.25,$0.00,1,$5970.00,4.87%,$6000.00,90.06%,,$2.50,$12.50,
,Sell,01/08/2019,Profit Target,$2586.25,,$6000.00,($2925.00),,($662.50),100.00%,90.06%,$2.50,$12.50,
11,Buy,1/14/2019,LE,$2596.00,$0.00,1,$5970.00,4.62%,$6000.00,98.77%,,$2.50,$12.50,
,Sell,1/31/2019,Profit Target,$2716.00,,$6000.00,$3045.00,,($75.00),100.00%,98.77%,$2.50,$12.50,
12,Buy,02/03/2019,LE,$2713.75,$0.00,1,$4770.00,3.54%,$5737.50,86.12%,,$2.50,$12.50,
,Sell,2/27/2019,Sell,$2809.75,,$4800.00,$7815.00,,($925.00),85.93%,72.05%,$2.50,$12.50,
13,Buy,03/07/2019,LE,$2763.50,$0.00,1,$5970.00,4.34%,$6000.00,81.08%,,$2.50,$12.50,
,Sell,04/02/2019,Profit Target,$2883.50,,$6000.00,$13785.00,,($1400.00),100.00%,81.08%,$2.50,$12.50,
14,Buy,04/09/2019,LE,$2891.00,$0.00,1,$1382.50,0.98%,$1962.50,90.75%,,$2.50,$12.50,
,Sell,4/16/2019,Sell,$2919.25,,$1412.50,$15167.50,,($200.00),74.57%,65.32%,$2.50,$12.50,
15,Buy,4/24/2019,LE,$2939.00,$0.00,1,$595.00,0.43%,$1075.00,57.72%,,$2.50,$12.50,
,Sell,4/29/2019,Sell,$2951.50,,$625.00,$15762.50,,($787.50),75.84%,33.56%,$2.50,$12.50,
16,Buy,05/01/2019,LE,$2925.50,$0.00,1,$32.50,0.04%,$1650.00,68.04%,,$2.50,$12.50,
,Sell,05/05/2019,Sell,$2926.75,,$62.50,$15795.00,,($775.00),34.54%,2.58%,$2.50,$12.50,
17,Buy,05/08/2019,LE,$2893.00,$0.00,1,($2530.00),-1.73%,$450.00,15.25%,,$2.50,$12.50,
,Sell,05/10/2019,Stop Loss,$2843.00,,($2500.00),$13265.00,,($2500.00),0.00%,-84.75%,$2.50,$12.50,
18,Buy,5/13/2019,LE,$2815.00,$0.00,1,($2530.00),-1.78%,$4400.00,63.77%,,$2.50,$12.50,
,Sell,5/31/2019,Stop Loss,$2765.00,,($2500.00),$10735.00,,($2500.00),0.00%,-36.23%,$2.50,$12.50,
19,Buy,06/02/2019,LE,$2750.00,$0.00,1,$5970.00,4.36%,$6000.00,90.74%,,$2.50,$12.50,
,Sell,06/07/2019,Profit Target,$2870.00,,$6000.00,$16705.00,,($612.50),100.00%,90.74%,$2.50,$12.50,
20,Buy,06/11/2019,LE,$2896.50,$0.00,1,$5545.00,3.85%,$5800.00,85.29%,,$2.50,$12.50,
,Sell,07/11/2019,Sell,$3008.00,,$5575.00,$22250.00,,($1000.00),96.69%,81.99%,$2.50,$12.50,
21,Buy,7/17/2019,LE,$2985.75,$0.00,1,$1082.50,0.75%,$1450.00,72.05%,,$2.50,$12.50,
,Sell,7/23/2019,Sell,$3008.00,,$1112.50,$23332.50,,($562.50),83.23%,55.28%,$2.50,$12.50,
22,Buy,7/29/2019,LE,$3027.25,$0.00,1,($2530.00),-1.65%,$262.50,9.50%,,$2.50,$12.50,
,Sell,7/31/2019,Stop Loss,$2977.25,,($2500.00),$20802.50,,($2500.00),0.00%,-90.50%,$2.50,$12.50,
23,Buy,7/31/2019,LE,$2975.25,$0.00,1,($2530.00),-1.68%,$2200.00,46.81%,,$2.50,$12.50,
,Sell,08/02/2019,Stop Loss,$2925.25,,($2500.00),$18272.50,,($2500.00),0.00%,-53.19%,$2.50,$12.50,
24,Buy,08/11/2019,LE,$2923.75,$0.00,1,($2530.00),-1.71%,$612.50,19.68%,,$2.50,$12.50,
,Sell,8/13/2019,Stop Loss,$2873.75,,($2500.00),$15742.50,,($2500.00),0.00%,-80.32%,$2.50,$12.50,
25,Buy,8/14/2019,LE,$2841.00,$0.00,1,$5970.00,4.22%,$6000.00,82.33%,,$2.50,$12.50,
,Sell,09/04/2019,Profit Target,$2961.00,,$6000.00,$21712.50,,($1287.50),100.00%,82.33%,$2.50,$12.50,
26,Buy,09/09/2019,LE,$2984.25,$0.00,1,$1520.00,1.04%,$2125.00,65.89%,,$2.50,$12.50,
,Sell,09/12/2019,Sell,$3015.25,,$1550.00,$23232.50,,($1100.00),82.17%,48.06%,$2.50,$12.50,
27,Buy,9/24/2019,LE,$2974.25,$0.00,1,$707.50,0.50%,$1037.50,54.61%,,$2.50,$12.50,
,Sell,9/25/2019,Sell,$2989.00,,$737.50,$23940.00,,($862.50),84.21%,38.82%,$2.50,$12.50,
28,Buy,10/08/2019,LE,$2896.75,$0.00,1,$2745.00,1.92%,$3025.00,83.74%,,$2.50,$12.50,
,Sell,10/10/2019,Sell,$2952.25,,$2775.00,$26685.00,,($587.50),93.08%,76.82%,$2.50,$12.50,
29,Buy,10/31/2019,LE,$3039.25,$0.00,1,$1407.50,0.95%,$1450.00,90.63%,,$2.50,$12.50,
,Sell,11/03/2019,Sell,$3068.00,,$1437.50,$28092.50,,($150.00),99.22%,89.84%,$2.50,$12.50,
30,Buy,11/20/2019,LE,$3100.50,$0.00,1,$2432.50,1.59%,$3037.50,68.64%,,$2.50,$12.50,
,Sell,12/08/2019,Sell,$3149.75,,$2462.50,$30525.00,,($1387.50),87.01%,55.65%,$2.50,$12.50,
31,Buy,01/05/2020,LE,$3220.75,$0.00,1,($1530.00),-0.93%,$2375.00,61.29%,,$2.50,$12.50,
,Sell,01/07/2020,Stop Loss,$3190.75,,($1500.00),$28995.00,,($1500.00),0.00%,-38.71%,$2.50,$12.50,
32,Buy,01/12/2020,LE,$3266.25,$0.00,1,$1145.00,0.72%,$1262.50,99.02%,,$2.50,$12.50,
,Sell,1/13/2020,Sell,$3289.75,,$1175.00,$30140.00,,($12.50),93.14%,92.16%,$2.50,$12.50,
