Performance Summary,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,All Trades,Long Trades,Short Trades,,,,,,,,,,,
2/21/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
2/20/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
2/19/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
2/18/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
2/17/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
2/16/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
2/15/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
2/14/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
2/13/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
2/12/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
2/11/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
2/10/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
2/9/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
2/8/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
2/7/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
2/6/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
2/5/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
2/4/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
2/3/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
2/2/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
2/1/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
1/31/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
1/30/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
1/29/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
1/28/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
1/27/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
1/26/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
1/25/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
1/24/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
1/23/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
1/22/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
1/21/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
1/20/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
1/19/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
1/18/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
1/17/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
1/16/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
1/15/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
1/14/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
1/13/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
1/12/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
1/11/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
1/10/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
1/9/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
1/8/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
1/7/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
1/6/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
1/5/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
1/4/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
1/3/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
1/2/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
1/1/2022 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
12/31/2021 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
12/30/2021 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
12/29/2021 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
12/28/2021 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
12/27/2021 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
12/26/2021 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
12/25/2021 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
12/24/2021 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
12/23/2021 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
12/22/2021 - 5/12/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
12/21/2021 - 5/12/2023,$42060.00,25.20%,2.27,29,51.72%,,,,,,,,,
12/20/2021 - 5/12/2023,$41582.50,24.85%,2.25,29,51.72%,,,,,,,,,
12/19/2021 - 5/12/2023,$40017.50,23.69%,2.15,30,50.00%,,,,,,,,,
12/18/2021 - 5/12/2023,$40017.50,23.69%,2.15,30,50.00%,,,,,,,,,
12/17/2021 - 5/12/2023,$37555.00,21.91%,2.01,30,50.00%,,,,,,,,,
12/16/2021 - 5/12/2023,$35492.50,20.46%,1.9,30,50.00%,,,,,,,,,
12/15/2021 - 5/12/2023,$39117.50,23.03%,2.1,30,50.00%,,,,,,,,,
12/14/2021 - 5/12/2023,$36675.00,21.29%,1.96,31,48.39%,,,,,,,,,
12/13/2021 - 5/12/2023,$34475.00,19.76%,1.85,31,48.39%,,,,,,,,,
12/12/2021 - 5/12/2023,$34475.00,19.76%,1.85,31,48.39%,,,,,,,,,
12/11/2021 - 5/12/2023,$34475.00,19.76%,1.85,31,48.39%,,,,,,,,,
12/10/2021 - 5/12/2023,$36662.50,21.28%,1.96,31,48.39%,,,,,,,,,
12/9/2021 - 5/12/2023,$36522.50,21.18%,1.95,31,48.39%,,,,,,,,,
12/8/2021 - 5/12/2023,$36522.50,21.18%,1.95,31,48.39%,,,,,,,,,
12/7/2021 - 5/12/2023,$36522.50,21.18%,1.95,31,48.39%,,,,,,,,,
12/6/2021 - 5/12/2023,$36522.50,21.18%,1.95,31,48.39%,,,,,,,,,
12/5/2021 - 5/12/2023,$36522.50,21.18%,1.95,31,48.39%,,,,,,,,,
12/4/2021 - 5/12/2023,$36522.50,21.18%,1.95,31,48.39%,,,,,,,,,
12/3/2021 - 5/12/2023,$36522.50,21.18%,1.95,31,48.39%,,,,,,,,,
12/2/2021 - 5/12/2023,$36522.50,21.18%,1.95,31,48.39%,,,,,,,,,
12/1/2021 - 5/12/2023,$35070.00,20.17%,1.88,32,46.88%,,,,,,,,,
11/30/2021 - 5/12/2023,$33992.50,19.43%,1.83,32,46.88%,,,,,,,,,
11/29/2021 - 5/12/2023,$33992.50,19.43%,1.83,32,46.88%,,,,,,,,,
11/28/2021 - 5/12/2023,$33992.50,19.43%,1.83,32,46.88%,,,,,,,,,
11/27/2021 - 5/12/2023,$33992.50,19.43%,1.83,32,46.88%,,,,,,,,,
11/26/2021 - 5/12/2023,$33992.50,19.43%,1.83,32,46.88%,,,,,,,,,
11/25/2021 - 5/12/2023,$33992.50,19.43%,1.83,32,46.88%,,,,,,,,,
11/24/2021 - 5/12/2023,$33992.50,19.43%,1.83,32,46.88%,,,,,,,,,
11/23/2021 - 5/12/2023,$34302.50,19.64%,1.84,33,48.48%,,,,,,,,,
11/22/2021 - 5/12/2023,$33565.00,19.14%,1.81,33,45.45%,,,,,,,,,
11/21/2021 - 5/12/2023,$33565.00,19.14%,1.81,33,45.45%,,,,,,,,,
11/20/2021 - 5/12/2023,$33565.00,19.14%,1.81,33,45.45%,,,,,,,,,
11/19/2021 - 5/12/2023,$33215.00,18.90%,1.8,33,45.45%,,,,,,,,,
11/18/2021 - 5/12/2023,$33977.50,19.42%,1.83,33,45.45%,,,,,,,,,
11/17/2021 - 5/12/2023,$33490.00,19.09%,1.81,33,45.45%,,,,,,,,,
11/16/2021 - 5/12/2023,$34340.00,19.67%,1.84,33,48.48%,,,,,,,,,
11/15/2021 - 5/12/2023,$34377.50,19.69%,1.84,33,48.48%,,,,,,,,,
11/14/2021 - 5/12/2023,$34377.50,19.69%,1.84,33,48.48%,,,,,,,,,
11/13/2021 - 5/12/2023,$34377.50,19.69%,1.84,33,48.48%,,,,,,,,,
11/12/2021 - 5/12/2023,$36140.00,20.91%,1.89,33,48.48%,,,,,,,,,
11/11/2021 - 5/12/2023,$36190.00,20.95%,1.89,33,48.48%,,,,,,,,,
11/10/2021 - 5/12/2023,$34377.50,19.69%,1.84,33,48.48%,,,,,,,,,
11/9/2021 - 5/12/2023,$34537.50,19.80%,1.85,33,48.48%,,,,,,,,,
11/8/2021 - 5/12/2023,$34537.50,19.80%,1.85,33,48.48%,,,,,,,,,
11/7/2021 - 5/12/2023,$34537.50,19.80%,1.85,33,48.48%,,,,,,,,,
11/6/2021 - 5/12/2023,$34537.50,19.80%,1.85,33,48.48%,,,,,,,,,
11/5/2021 - 5/12/2023,$35297.50,20.33%,1.86,34,50.00%,,,,,,,,,
11/4/2021 - 5/12/2023,$36347.50,21.06%,1.89,34,50.00%,,,,,,,,,
11/3/2021 - 5/12/2023,$37785.00,22.08%,1.93,34,50.00%,,,,,,,,,
11/2/2021 - 5/12/2023,$38672.50,22.71%,1.95,34,50.00%,,,,,,,,,
11/1/2021 - 5/12/2023,$39110.00,23.03%,1.96,34,50.00%,,,,,,,,,
10/31/2021 - 5/12/2023,$39110.00,23.03%,1.96,34,50.00%,,,,,,,,,
10/30/2021 - 5/12/2023,$39110.00,23.03%,1.96,34,50.00%,,,,,,,,,
10/29/2021 - 5/12/2023,$39585.00,23.37%,1.97,34,50.00%,,,,,,,,,
10/28/2021 - 5/12/2023,$41735.00,24.96%,2.02,34,50.00%,,,,,,,,,
10/27/2021 - 5/12/2023,$41507.50,24.79%,2.02,34,50.00%,,,,,,,,,
10/26/2021 - 5/12/2023,$41507.50,24.79%,2.02,34,50.00%,,,,,,,,,
10/25/2021 - 5/12/2023,$41507.50,24.79%,2.02,34,50.00%,,,,,,,,,
10/24/2021 - 5/12/2023,$41507.50,24.79%,2.02,34,50.00%,,,,,,,,,
10/23/2021 - 5/12/2023,$41507.50,24.79%,2.02,34,50.00%,,,,,,,,,
10/22/2021 - 5/12/2023,$41507.50,24.79%,2.02,34,50.00%,,,,,,,,,
10/21/2021 - 5/12/2023,$41507.50,24.79%,2.02,34,50.00%,,,,,,,,,
10/20/2021 - 5/12/2023,$41507.50,24.79%,2.02,34,50.00%,,,,,,,,,
10/19/2021 - 5/12/2023,$41507.50,24.79%,2.02,34,50.00%,,,,,,,,,
10/18/2021 - 5/12/2023,$41507.50,24.79%,2.02,34,50.00%,,,,,,,,,
10/17/2021 - 5/12/2023,$41507.50,24.79%,2.02,34,50.00%,,,,,,,,,
10/16/2021 - 5/12/2023,$41507.50,24.79%,2.02,34,50.00%,,,,,,,,,
10/15/2021 - 5/12/2023,$41507.50,24.79%,2.02,34,50.00%,,,,,,,,,
10/14/2021 - 5/12/2023,$41507.50,24.79%,2.02,34,50.00%,,,,,,,,,
10/13/2021 - 5/12/2023,$41507.50,24.79%,2.02,34,50.00%,,,,,,,,,
10/12/2021 - 5/12/2023,$41507.50,24.79%,2.02,34,50.00%,,,,,,,,,
10/11/2021 - 5/12/2023,$41507.50,24.79%,2.02,34,50.00%,,,,,,,,,
10/10/2021 - 5/12/2023,$41507.50,24.79%,2.02,34,50.00%,,,,,,,,,
10/9/2021 - 5/12/2023,$41507.50,24.79%,2.02,34,50.00%,,,,,,,,,
10/8/2021 - 5/12/2023,$41507.50,24.79%,2.02,34,50.00%,,,,,,,,,
10/7/2021 - 5/12/2023,$41507.50,24.79%,2.02,34,50.00%,,,,,,,,,
10/6/2021 - 5/12/2023,$41507.50,24.79%,2.02,34,50.00%,,,,,,,,,
10/5/2021 - 5/12/2023,$41507.50,24.79%,2.02,34,50.00%,,,,,,,,,
10/4/2021 - 5/12/2023,$41507.50,24.79%,2.02,34,50.00%,,,,,,,,,
10/3/2021 - 5/12/2023,$41507.50,24.79%,2.02,34,50.00%,,,,,,,,,
10/2/2021 - 5/12/2023,$41507.50,24.79%,2.02,34,50.00%,,,,,,,,,
10/1/2021 - 5/12/2023,$41507.50,24.79%,2.02,34,50.00%,,,,,,,,,
9/30/2021 - 5/12/2023,$41507.50,24.79%,2.02,34,50.00%,,,,,,,,,
9/29/2021 - 5/12/2023,$41507.50,24.79%,2.02,34,50.00%,,,,,,,,,
9/28/2021 - 5/12/2023,$41507.50,24.79%,2.02,34,50.00%,,,,,,,,,
9/27/2021 - 5/12/2023,$41507.50,24.79%,2.02,34,50.00%,,,,,,,,,
9/26/2021 - 5/12/2023,$41507.50,24.79%,2.02,34,50.00%,,,,,,,,,
9/25/2021 - 5/12/2023,$41507.50,24.79%,2.02,34,50.00%,,,,,,,,,
9/24/2021 - 5/12/2023,$41507.50,24.79%,2.02,34,50.00%,,,,,,,,,
9/23/2021 - 5/12/2023,$44242.50,26.86%,2.08,35,51.43%,,,,,,,,,
9/22/2021 - 5/12/2023,$46280.00,28.45%,2.13,35,51.43%,,,,,,,,,
9/21/2021 - 5/12/2023,$46602.50,28.71%,2.14,35,51.43%,,,,,,,,,
9/20/2021 - 5/12/2023,$46602.50,28.71%,2.14,35,51.43%,,,,,,,,,
9/19/2021 - 5/12/2023,$44850.00,27.33%,2.05,36,50.00%,,,,,,,,,
9/18/2021 - 5/12/2023,$44850.00,27.33%,2.05,36,50.00%,,,,,,,,,
9/17/2021 - 5/12/2023,$42725.00,25.70%,1.96,36,50.00%,,,,,,,,,
9/16/2021 - 5/12/2023,$42337.50,25.41%,1.94,36,50.00%,,,,,,,,,
9/15/2021 - 5/12/2023,$44200.00,26.83%,2.02,36,50.00%,,,,,,,,,
9/14/2021 - 5/12/2023,$42682.50,25.67%,1.95,37,48.65%,,,,,,,,,
9/13/2021 - 5/12/2023,$43207.50,26.07%,1.98,37,48.65%,,,,,,,,,
9/12/2021 - 5/12/2023,$43207.50,26.07%,1.98,37,48.65%,,,,,,,,,
9/11/2021 - 5/12/2023,$43207.50,26.07%,1.98,37,48.65%,,,,,,,,,
9/10/2021 - 5/12/2023,$41507.50,24.79%,1.9,37,48.65%,,,,,,,,,
9/9/2021 - 5/12/2023,$41542.50,24.82%,1.91,37,48.65%,,,,,,,,,
9/8/2021 - 5/12/2023,$41542.50,24.82%,1.91,37,48.65%,,,,,,,,,
9/7/2021 - 5/12/2023,$41542.50,24.82%,1.91,37,48.65%,,,,,,,,,
9/6/2021 - 5/12/2023,$41542.50,24.82%,1.91,37,48.65%,,,,,,,,,
9/5/2021 - 5/12/2023,$41452.50,24.75%,1.9,38,47.37%,,,,,,,,,
9/4/2021 - 5/12/2023,$41452.50,24.75%,1.9,38,47.37%,,,,,,,,,
9/3/2021 - 5/12/2023,$41415.00,24.72%,1.9,38,47.37%,,,,,,,,,
9/2/2021 - 5/12/2023,$42115.00,25.24%,1.92,38,50.00%,,,,,,,,,
9/1/2021 - 5/12/2023,$42037.50,25.19%,1.92,38,50.00%,,,,,,,,,
8/31/2021 - 5/12/2023,$42037.50,25.19%,1.92,38,50.00%,,,,,,,,,
8/30/2021 - 5/12/2023,$42037.50,25.19%,1.92,38,50.00%,,,,,,,,,
8/29/2021 - 5/12/2023,$42037.50,25.19%,1.92,38,50.00%,,,,,,,,,
8/28/2021 - 5/12/2023,$42037.50,25.19%,1.92,38,50.00%,,,,,,,,,
8/27/2021 - 5/12/2023,$42037.50,25.19%,1.92,38,50.00%,,,,,,,,,
8/26/2021 - 5/12/2023,$42037.50,25.19%,1.92,38,50.00%,,,,,,,,,
8/25/2021 - 5/12/2023,$42585.00,25.60%,1.93,39,51.28%,,,,,,,,,
8/24/2021 - 5/12/2023,$42935.00,25.86%,1.94,39,51.28%,,,,,,,,,
8/23/2021 - 5/12/2023,$44860.00,27.34%,1.98,39,51.28%,,,,,,,,,
8/22/2021 - 5/12/2023,$44860.00,27.34%,1.98,39,51.28%,,,,,,,,,
8/21/2021 - 5/12/2023,$44860.00,27.34%,1.98,39,51.28%,,,,,,,,,
8/20/2021 - 5/12/2023,$46635.00,28.73%,2.02,39,51.28%,,,,,,,,,
8/19/2021 - 5/12/2023,$46985.00,29.01%,2.02,39,51.28%,,,,,,,,,
8/18/2021 - 5/12/2023,$44355.00,26.95%,1.91,40,50.00%,,,,,,,,,
8/17/2021 - 5/12/2023,$44677.50,27.20%,1.92,40,50.00%,,,,,,,,,
8/16/2021 - 5/12/2023,$44677.50,27.20%,1.92,40,50.00%,,,,,,,,,
8/15/2021 - 5/12/2023,$44677.50,27.20%,1.92,40,50.00%,,,,,,,,,
8/14/2021 - 5/12/2023,$44677.50,27.20%,1.92,40,50.00%,,,,,,,,,
8/13/2021 - 5/12/2023,$44677.50,27.20%,1.92,40,50.00%,,,,,,,,,
8/12/2021 - 5/12/2023,$44677.50,27.20%,1.92,40,50.00%,,,,,,,,,
8/11/2021 - 5/12/2023,$44677.50,27.20%,1.92,40,50.00%,,,,,,,,,
8/10/2021 - 5/12/2023,$44837.50,27.32%,1.93,41,51.22%,,,,,,,,,
8/9/2021 - 5/12/2023,$44650.00,27.18%,1.92,41,48.78%,,,,,,,,,
8/8/2021 - 5/12/2023,$44650.00,27.18%,1.92,41,48.78%,,,,,,,,,
8/7/2021 - 5/12/2023,$44650.00,27.18%,1.92,41,48.78%,,,,,,,,,
8/6/2021 - 5/12/2023,$45050.00,27.49%,1.93,41,51.22%,,,,,,,,,
8/5/2021 - 5/12/2023,$46387.50,28.54%,1.96,41,51.22%,,,,,,,,,
8/4/2021 - 5/12/2023,$45375.00,27.74%,1.94,41,51.22%,,,,,,,,,
8/3/2021 - 5/12/2023,$47137.50,29.13%,1.97,41,51.22%,,,,,,,,,
8/2/2021 - 5/12/2023,$46650.00,28.74%,1.96,41,51.22%,,,,,,,,,
8/1/2021 - 5/12/2023,$46650.00,28.74%,1.96,41,51.22%,,,,,,,,,
7/31/2021 - 5/12/2023,$46650.00,28.74%,1.96,41,51.22%,,,,,,,,,
7/30/2021 - 5/12/2023,$45537.50,27.87%,1.94,41,51.22%,,,,,,,,,
7/29/2021 - 5/12/2023,$46437.50,28.58%,1.96,41,51.22%,,,,,,,,,
7/28/2021 - 5/12/2023,$46400.00,28.55%,1.96,41,51.22%,,,,,,,,,
7/27/2021 - 5/12/2023,$47110.00,29.11%,1.97,41,51.22%,,,,,,,,,
7/26/2021 - 5/12/2023,$47110.00,29.11%,1.97,41,51.22%,,,,,,,,,
7/25/2021 - 5/12/2023,$47110.00,29.11%,1.97,41,51.22%,,,,,,,,,
7/24/2021 - 5/12/2023,$47110.00,29.11%,1.97,41,51.22%,,,,,,,,,
7/23/2021 - 5/12/2023,$47110.00,29.11%,1.97,41,51.22%,,,,,,,,,
7/22/2021 - 5/12/2023,$47110.00,29.11%,1.97,41,51.22%,,,,,,,,,
7/21/2021 - 5/12/2023,$47110.00,29.11%,1.97,41,51.22%,,,,,,,,,
7/20/2021 - 5/12/2023,$47110.00,29.11%,1.97,41,51.22%,,,,,,,,,
7/19/2021 - 5/12/2023,$44182.50,26.82%,1.86,42,50.00%,,,,,,,,,
7/18/2021 - 5/12/2023,$44182.50,26.82%,1.86,42,50.00%,,,,,,,,,
7/17/2021 - 5/12/2023,$44182.50,26.82%,1.86,42,50.00%,,,,,,,,,
7/16/2021 - 5/12/2023,$42507.50,25.54%,1.8,42,50.00%,,,,,,,,,
7/15/2021 - 5/12/2023,$41720.00,24.95%,1.78,42,50.00%,,,,,,,,,
7/14/2021 - 5/12/2023,$42045.00,25.19%,1.79,42,50.00%,,,,,,,,,
7/13/2021 - 5/12/2023,$41282.50,24.62%,1.76,42,50.00%,,,,,,,,,
7/12/2021 - 5/12/2023,$42107.50,25.24%,1.79,42,50.00%,,,,,,,,,
7/11/2021 - 5/12/2023,$42107.50,25.24%,1.79,42,50.00%,,,,,,,,,
7/10/2021 - 5/12/2023,$42107.50,25.24%,1.79,42,50.00%,,,,,,,,,
7/9/2021 - 5/12/2023,$44457.50,27.03%,1.87,42,50.00%,,,,,,,,,
7/8/2021 - 5/12/2023,$44580.00,27.12%,1.88,42,50.00%,,,,,,,,,
7/7/2021 - 5/12/2023,$44580.00,27.12%,1.88,42,50.00%,,,,,,,,,
7/6/2021 - 5/12/2023,$44580.00,27.12%,1.88,42,50.00%,,,,,,,,,
7/5/2021 - 5/12/2023,$44580.00,27.12%,1.88,42,50.00%,,,,,,,,,
7/4/2021 - 5/12/2023,$44580.00,27.12%,1.88,42,50.00%,,,,,,,,,
7/3/2021 - 5/12/2023,$44580.00,27.12%,1.88,42,50.00%,,,,,,,,,
7/2/2021 - 5/12/2023,$44580.00,27.12%,1.88,42,50.00%,,,,,,,,,
7/1/2021 - 5/12/2023,$44580.00,27.12%,1.88,42,50.00%,,,,,,,,,
6/30/2021 - 5/12/2023,$44580.00,27.12%,1.88,42,50.00%,,,,,,,,,
6/29/2021 - 5/12/2023,$44580.00,27.12%,1.88,42,50.00%,,,,,,,,,
6/28/2021 - 5/12/2023,$44580.00,27.12%,1.88,42,50.00%,,,,,,,,,
6/27/2021 - 5/12/2023,$44580.00,27.12%,1.88,42,50.00%,,,,,,,,,
6/26/2021 - 5/12/2023,$44580.00,27.12%,1.88,42,50.00%,,,,,,,,,
6/25/2021 - 5/12/2023,$44580.00,27.12%,1.88,42,50.00%,,,,,,,,,
6/24/2021 - 5/12/2023,$44580.00,27.12%,1.88,42,50.00%,,,,,,,,,
6/23/2021 - 5/12/2023,$44580.00,27.12%,1.88,42,50.00%,,,,,,,,,
6/22/2021 - 5/12/2023,$44580.00,27.12%,1.88,42,50.00%,,,,,,,,,
6/21/2021 - 5/12/2023,$44580.00,27.12%,1.88,42,50.00%,,,,,,,,,
6/20/2021 - 5/12/2023,$43840.00,26.55%,1.85,43,48.84%,,,,,,,,,
6/19/2021 - 5/12/2023,$43840.00,26.55%,1.85,43,48.84%,,,,,,,,,
6/18/2021 - 5/12/2023,$40902.50,24.34%,1.75,43,48.84%,,,,,,,,,
6/17/2021 - 5/12/2023,$40865.00,24.31%,1.75,43,48.84%,,,,,,,,,
6/16/2021 - 5/12/2023,$39690.00,23.45%,1.71,43,48.84%,,,,,,,,,
6/15/2021 - 5/12/2023,$39227.50,23.11%,1.7,43,48.84%,,,,,,,,,
6/14/2021 - 5/12/2023,$39690.00,23.45%,1.71,43,48.84%,,,,,,,,,
6/13/2021 - 5/12/2023,$39690.00,23.45%,1.71,43,48.84%,,,,,,,,,
6/12/2021 - 5/12/2023,$39690.00,23.45%,1.71,43,48.84%,,,,,,,,,
6/11/2021 - 5/12/2023,$40077.50,23.73%,1.72,43,48.84%,,,,,,,,,
6/10/2021 - 5/12/2023,$41065.00,24.46%,1.75,43,48.84%,,,,,,,,,
6/9/2021 - 5/12/2023,$40702.50,24.19%,1.74,43,48.84%,,,,,,,,,
6/8/2021 - 5/12/2023,$40715.00,24.20%,1.74,43,48.84%,,,,,,,,,
6/7/2021 - 5/12/2023,$40577.50,24.10%,1.74,43,48.84%,,,,,,,,,
6/6/2021 - 5/12/2023,$40577.50,24.10%,1.74,43,48.84%,,,,,,,,,
6/5/2021 - 5/12/2023,$40577.50,24.10%,1.74,43,48.84%,,,,,,,,,
6/4/2021 - 5/12/2023,$42427.50,25.48%,1.8,43,48.84%,,,,,,,,,
6/3/2021 - 5/12/2023,$41677.50,24.92%,1.77,43,48.84%,,,,,,,,,
6/2/2021 - 5/12/2023,$42065.00,25.21%,1.79,43,48.84%,,,,,,,,,
6/1/2021 - 5/12/2023,$42050.00,25.20%,1.79,43,48.84%,,,,,,,,,
5/31/2021 - 5/12/2023,$42050.00,25.20%,1.79,43,48.84%,,,,,,,,,
5/30/2021 - 5/12/2023,$42050.00,25.20%,1.79,43,48.84%,,,,,,,,,
5/29/2021 - 5/12/2023,$42050.00,25.20%,1.79,43,48.84%,,,,,,,,,
5/28/2021 - 5/12/2023,$42050.00,25.20%,1.79,43,48.84%,,,,,,,,,
5/27/2021 - 5/12/2023,$42050.00,25.20%,1.79,43,48.84%,,,,,,,,,
5/26/2021 - 5/12/2023,$42050.00,25.20%,1.79,43,48.84%,,,,,,,,,
5/25/2021 - 5/12/2023,$42050.00,25.20%,1.79,43,48.84%,,,,,,,,,
5/24/2021 - 5/12/2023,$42050.00,25.20%,1.79,43,48.84%,,,,,,,,,
5/23/2021 - 5/12/2023,$42050.00,25.20%,1.79,43,48.84%,,,,,,,,,
5/22/2021 - 5/12/2023,$42050.00,25.20%,1.79,43,48.84%,,,,,,,,,
5/21/2021 - 5/12/2023,$42050.00,25.20%,1.79,43,48.84%,,,,,,,,,
5/20/2021 - 5/12/2023,$42050.00,25.20%,1.79,43,48.84%,,,,,,,,,
5/19/2021 - 5/12/2023,$42050.00,25.20%,1.79,43,48.84%,,,,,,,,,
5/18/2021 - 5/12/2023,$42050.00,25.20%,1.79,43,48.84%,,,,,,,,,
5/17/2021 - 5/12/2023,$42050.00,25.20%,1.79,43,48.84%,,,,,,,,,
5/16/2021 - 5/12/2023,$42050.00,25.20%,1.79,43,48.84%,,,,,,,,,
5/15/2021 - 5/12/2023,$42050.00,25.20%,1.79,43,48.84%,,,,,,,,,
5/14/2021 - 5/12/2023,$42050.00,25.20%,1.79,43,48.84%,,,,,,,,,
5/13/2021 - 5/12/2023,$42050.00,25.20%,1.79,43,48.84%,,,,,,,,,
5/12/2021 - 5/12/2023,$38397.50,22.51%,1.67,44,47.73%,,,,,,,,,
5/11/2021 - 5/12/2023,$36535.00,21.19%,1.62,44,47.73%,,,,,,,,,
5/10/2021 - 5/12/2023,$34447.50,19.74%,1.56,44,47.73%,,,,,,,,,
5/9/2021 - 5/12/2023,$34447.50,19.74%,1.56,44,47.73%,,,,,,,,,
5/8/2021 - 5/12/2023,$34447.50,19.74%,1.56,44,47.73%,,,,,,,,,
5/7/2021 - 5/12/2023,$35997.50,20.81%,1.6,44,47.73%,,,,,,,,,
5/6/2021 - 5/12/2023,$37710.00,22.02%,1.65,44,47.73%,,,,,,,,,
5/5/2021 - 5/12/2023,$37797.50,22.08%,1.65,44,47.73%,,,,,,,,,
5/4/2021 - 5/12/2023,$36422.50,21.11%,1.62,44,47.73%,,,,,,,,,
5/3/2021 - 5/12/2023,$36985.00,21.51%,1.63,44,47.73%,,,,,,,,,
5/2/2021 - 5/12/2023,$36985.00,21.51%,1.63,44,47.73%,,,,,,,,,
