

Performance Summary

,All Trades,Long Trades,Short Trades,
03/06/2017,$0.00,0.00%,n/a,1,0.00%,
02/06/2017,($1212.50),-0.75%,0.00,1,0.00%,
01/06/2017,$693.75,0.43%,n/a,1,100.00%,
31/05/2017,($18.75),-0.01%,0.00,1,0.00%,
30/05/2017,$137.50,0.09%,n/a,1,100.00%,
29/05/2017,($568.75),-0.35%,0.00,1,0.00%,
28/05/2017,$50.00,0.03%,n/a,1,100.00%,
27/05/2017,$0.00,0.00%,n/a,1,0.00%,
26/05/2017,($406.25),-0.25%,0.00,1,0.00%,
25/05/2017,$93.75,0.06%,n/a,1,100.00%,
24/05/2017,($137.50),-0.09%,0.00,1,0.00%,
23/05/2017,$725.00,0.45%,n/a,1,100.00%,
22/05/2017,($242.50),-0.15%,0.00,1,0.00%,
16/05/2017,($423.75),-0.26%,0.00,1,0.00%,
15/05/2017,$156.25,0.10%,n/a,1,100.00%,
14/05/2017,($12.50),-0.01%,0.00,1,0.00%,
13/05/2017,$0.00,0.00%,n/a,1,0.00%,
12/05/2017,($356.25),-0.22%,0.00,1,0.00%,
11/05/2017,($431.25),-0.27%,0.00,1,0.00%,
10/05/2017,$362.50,0.22%,n/a,1,100.00%,
09/05/2017,$612.50,0.38%,n/a,1,100.00%,
08/05/2017,$375.00,0.23%,n/a,1,100.00%,
07/05/2017,$100.00,0.06%,n/a,1,100.00%,
06/05/2017,$0.00,0.00%,n/a,1,0.00%,
05/05/2017,$195.00,0.12%,n/a,1,100.00%,
04/05/2017,($298.75),-0.19%,0.00,1,0.00%,
03/05/2017,$700.00,0.44%,n/a,1,100.00%,
02/05/2017,$175.00,0.11%,n/a,1,100.00%,
01/05/2017,$212.50,0.13%,n/a,1,100.00%,
30/04/2017,$162.50,0.10%,n/a,1,100.00%,
29/04/2017,$0.00,0.00%,n/a,1,0.00%,
28/04/2017,$406.25,0.26%,n/a,1,100.00%,
27/04/2017,($168.75),-0.11%,0.00,1,0.00%,
26/04/2017,$62.50,0.04%,n/a,1,100.00%,
25/04/2017,$1437.50,0.91%,n/a,1,100.00%,
24/04/2017,($150.00),-0.10%,0.00,1,0.00%,
23/04/2017,$981.25,0.63%,n/a,1,100.00%,
22/04/2017,$0.00,0.00%,n/a,1,0.00%,
21/04/2017,($181.25),-0.12%,0.00,1,0.00%,
20/04/2017,$225.00,0.14%,n/a,1,100.00%,
19/04/2017,$107.50,0.07%,n/a,1,100.00%,
11/04/2017,($1117.50),-0.71%,0.00,1,0.00%,
10/04/2017,($718.75),-0.45%,0.00,1,0.00%,
09/04/2017,$412.50,0.26%,n/a,1,100.00%,
08/04/2017,$0.00,0.00%,n/a,1,0.00%,
07/04/2017,$787.50,0.50%,n/a,1,100.00%,
06/04/2017,($256.25),-0.16%,0.00,1,0.00%,
05/04/2017,($231.25),-0.15%,0.00,1,0.00%,
04/04/2017,$100.00,0.06%,n/a,1,100.00%,
03/04/2017,($668.75),-0.42%,0.00,1,0.00%,
02/04/2017,($25.00),-0.02%,0.00,1,0.00%,
01/04/2017,$0.00,0.00%,n/a,1,0.00%,
31/03/2017,($662.50),-0.42%,0.00,1,0.00%,
30/03/2017,$675.00,0.43%,n/a,1,100.00%,
29/03/2017,$162.50,0.10%,n/a,1,100.00%,
28/03/2017,$276.25,0.18%,n/a,1,100.00%,
24/03/2017,($148.75),-0.09%,0.00,1,0.00%,
23/03/2017,$100.00,0.06%,n/a,1,100.00%,
22/03/2017,$162.50,0.10%,n/a,1,100.00%,
21/03/2017,$950.00,0.61%,n/a,1,100.00%,
20/03/2017,($112.50),-0.07%,0.00,1,0.00%,
19/03/2017,$181.25,0.12%,n/a,1,100.00%,
18/03/2017,$0.00,0.00%,n/a,1,0.00%,
17/03/2017,$750.00,0.48%,n/a,1,100.00%,
16/03/2017,($87.50),-0.06%,0.00,1,0.00%,
15/03/2017,$1381.25,0.89%,n/a,1,100.00%,
14/03/2017,($12.50),-0.01%,0.00,1,0.00%,
13/03/2017,$43.75,0.03%,n/a,1,100.00%,
12/03/2017,($12.50),-0.01%,0.00,1,0.00%,
11/03/2017,$0.00,0.00%,n/a,1,0.00%,
10/03/2017,$331.25,0.21%,n/a,1,100.00%,
09/03/2017,($712.50),-0.46%,0.00,1,0.00%,
08/03/2017,($656.25),-0.42%,0.00,1,0.00%,
07/03/2017,$76.25,0.05%,n/a,1,100.00%,
02/03/2017,($192.50),-0.12%,0.00,1,0.00%,
01/03/2017,($1031.25),-0.66%,0.00,1,0.00%,
28/02/2017,($387.50),-0.25%,0.00,1,0.00%,
27/02/2017,($368.75),-0.23%,0.00,1,0.00%,
26/02/2017,($31.25),-0.02%,0.00,1,0.00%,
25/02/2017,$0.00,0.00%,n/a,1,0.00%,
24/02/2017,$650.00,0.41%,n/a,1,100.00%,
23/02/2017,$431.25,0.28%,n/a,1,100.00%,
22/02/2017,$68.75,0.04%,n/a,1,100.00%,
21/02/2017,$113.75,0.07%,n/a,1,100.00%,
16/02/2017,($261.25),-0.17%,0.00,1,0.00%,
15/02/2017,($443.75),-0.28%,0.00,1,0.00%,
14/02/2017,$612.50,0.39%,n/a,1,100.00%,
13/02/2017,($256.25),-0.16%,0.00,1,0.00%,
12/02/2017,$731.25,0.47%,n/a,1,100.00%,
11/02/2017,$0.00,0.00%,n/a,1,0.00%,
10/02/2017,($412.50),-0.26%,0.00,1,0.00%,
09/02/2017,$1332.50,0.86%,n/a,1,100.00%,
06/02/2017,($673.75),-0.43%,0.00,1,0.00%,
05/02/2017,($87.50),-0.06%,0.00,1,0.00%,
04/02/2017,$0.00,0.00%,n/a,1,0.00%,
03/02/2017,($106.25),-0.07%,0.00,1,0.00%,
02/02/2017,($368.75),-0.24%,0.00,1,0.00%,
01/02/2017,$6.25,0.00%,n/a,1,100.00%,
31/01/2017,($450.00),-0.29%,0.00,1,0.00%,
30/01/2017,($787.50),-0.50%,0.00,1,0.00%,
29/01/2017,($693.75),-0.44%,0.00,1,0.00%,
28/01/2017,$0.00,0.00%,n/a,1,0.00%,
27/01/2017,$187.50,0.12%,n/a,1,100.00%,
26/01/2017,$1468.75,0.94%,n/a,1,100.00%,
25/01/2017,($137.50),-0.09%,0.00,1,0.00%,
24/01/2017,$700.00,0.45%,n/a,1,100.00%,
23/01/2017,($800.00),-0.51%,0.00,1,0.00%,
22/01/2017,($937.50),-0.59%,0.00,1,0.00%,
21/01/2017,$0.00,0.00%,n/a,1,0.00%,
20/01/2017,($125.00),-0.08%,0.00,1,0.00%,
19/01/2017,$87.50,0.06%,n/a,1,100.00%,
18/01/2017,$57.50,0.04%,n/a,1,100.00%,
17/01/2017,($711.25),-0.45%,0.00,1,0.00%,
16/01/2017,($75.00),-0.05%,0.00,1,0.00%,
15/01/2017,($325.00),-0.20%,0.00,1,0.00%,
14/01/2017,$0.00,0.00%,n/a,1,0.00%,
13/01/2017,($643.75),-0.40%,0.00,1,0.00%,
12/01/2017,$312.50,0.20%,n/a,1,100.00%,
11/01/2017,($1250.00),-0.78%,0.00,1,0.00%,
10/01/2017,$493.75,0.31%,n/a,1,100.00%,
09/01/2017,($1531.25),-0.95%,0.00,1,0.00%,
08/01/2017,$300.00,0.19%,n/a,1,100.00%,
07/01/2017,$0.00,0.00%,n/a,1,0.00%,
06/01/2017,$1106.25,0.69%,n/a,1,100.00%,
05/01/2017,($675.00),-0.42%,0.00,1,0.00%,
04/01/2017,($1275.00),-0.79%,0.00,1,0.00%,
03/01/2017,$543.75,0.34%,n/a,1,100.00%,
02/01/2017,$293.75,0.18%,n/a,1,100.00%,
01/01/2017,$0.00,0.00%,n/a,1,0.00%,
31/12/2016,$0.00,0.00%,n/a,1,0.00%,
30/12/2016,$587.50,0.37%,n/a,1,100.00%,
29/12/2016,($393.75),-0.24%,0.00,1,0.00%,
28/12/2016,($687.50),-0.43%,0.00,1,0.00%,
27/12/2016,$293.75,0.18%,n/a,1,100.00%,
26/12/2016,$12.50,0.01%,n/a,1,100.00%,
25/12/2016,$0.00,0.00%,n/a,1,0.00%,
24/12/2016,$0.00,0.00%,n/a,1,0.00%,
23/12/2016,($125.00),-0.08%,0.00,1,0.00%,
22/12/2016,($81.25),-0.05%,0.00,1,0.00%,
21/12/2016,($118.75),-0.07%,0.00,1,0.00%,
20/12/2016,($136.25),-0.08%,0.00,1,0.00%,
15/12/2016,$507.50,0.31%,n/a,1,100.00%,
14/12/2016,$2025.00,1.27%,n/a,1,100.00%,
13/12/2016,$56.25,0.04%,n/a,1,100.00%,
12/12/2016,($200.00),-0.13%,0.00,1,0.00%,
11/12/2016,($100.00),-0.06%,0.00,1,0.00%,
10/12/2016,$0.00,0.00%,n/a,1,0.00%,
09/12/2016,$918.75,0.58%,n/a,1,100.00%,
08/12/2016,$862.50,0.55%,n/a,1,100.00%,
07/12/2016,($525.00),-0.33%,0.00,1,0.00%,
06/12/2016,$418.75,0.27%,n/a,1,100.00%,
05/12/2016,($935.00),-0.59%,0.00,2,0.00%,
04/12/2016,$143.75,0.09%,n/a,1,100.00%,
03/12/2016,$0.00,0.00%,n/a,1,0.00%,
02/12/2016,($337.50),-0.21%,0.00,1,0.00%,
01/12/2016,($456.25),-0.29%,0.00,1,0.00%,
30/11/2016,$1937.50,1.23%,n/a,1,100.00%,
29/11/2016,$300.00,0.19%,n/a,1,100.00%,
28/11/2016,($105.00),-0.07%,0.00,1,0.00%,
16/11/2016,$188.75,0.12%,n/a,1,100.00%,
15/11/2016,$800.00,0.51%,n/a,1,100.00%,
14/11/2016,$893.75,0.58%,n/a,1,100.00%,
13/11/2016,$862.50,0.56%,n/a,1,100.00%,
12/11/2016,$0.00,0.00%,n/a,1,0.00%,
11/11/2016,$262.50,0.17%,n/a,1,100.00%,
10/11/2016,$1368.75,0.90%,n/a,1,100.00%,
09/11/2016,$2625.00,1.75%,n/a,1,100.00%,
08/11/2016,($1643.75),-1.08%,0.00,1,0.00%,
07/11/2016,$95.00,0.06%,n/a,1,100.00%,
02/11/2016,($17.50),-0.01%,0.00,1,0.00%,
01/11/2016,($1068.75),-0.70%,0.00,1,0.00%,
31/10/2016,$37.50,0.02%,n/a,1,100.00%,
30/10/2016,$125.00,0.08%,n/a,1,100.00%,
29/10/2016,$0.00,0.00%,n/a,1,0.00%,
28/10/2016,($643.75),-0.42%,0.00,1,0.00%,
27/10/2016,$975.00,0.64%,n/a,1,100.00%,
26/10/2016,$106.25,0.07%,n/a,1,100.00%,
25/10/2016,($106.25),-0.07%,0.00,1,0.00%,
24/10/2016,$550.00,0.36%,n/a,1,100.00%,
23/10/2016,$118.75,0.08%,n/a,1,100.00%,
22/10/2016,$0.00,0.00%,n/a,1,0.00%,
21/10/2016,($293.75),-0.19%,0.00,1,0.00%,
20/10/2016,$575.00,0.38%,n/a,1,100.00%,
19/10/2016,($93.75),-0.06%,0.00,1,0.00%,
18/10/2016,($112.50),-0.07%,0.00,1,0.00%,
17/10/2016,($306.25),-0.20%,0.00,1,0.00%,
16/10/2016,($106.25),-0.07%,0.00,1,0.00%,
15/10/2016,$0.00,0.00%,n/a,1,0.00%,
14/10/2016,$356.25,0.23%,n/a,1,100.00%,
13/10/2016,($443.75),-0.29%,0.00,1,0.00%,
12/10/2016,$793.75,0.52%,n/a,1,100.00%,
11/10/2016,($387.50),-0.26%,0.00,1,0.00%,
10/10/2016,$1075.00,0.71%,n/a,1,100.00%,
09/10/2016,$156.25,0.10%,n/a,1,100.00%,
08/10/2016,$0.00,0.00%,n/a,1,0.00%,
07/10/2016,($372.50),-0.25%,0.00,2,0.00%,
06/10/2016,$218.75,0.15%,n/a,1,100.00%,
05/10/2016,$650.00,0.43%,n/a,1,100.00%,
04/10/2016,$868.75,0.58%,n/a,1,100.00%,
03/10/2016,$931.25,0.63%,n/a,1,100.00%,
02/10/2016,$75.00,0.05%,n/a,1,100.00%,
01/10/2016,$0.00,0.00%,n/a,1,0.00%,
30/09/2016,$287.50,0.19%,n/a,1,100.00%,
29/09/2016,($350.00),-0.24%,0.00,1,0.00%,
28/09/2016,$962.50,0.65%,n/a,1,100.00%,
27/09/2016,($261.25),-0.18%,0.00,1,0.00%,
26/09/2016,($5.00),0.00%,0.00,1,0.00%,
25/09/2016,($181.25),-0.12%,0.00,1,0.00%,
24/09/2016,$0.00,0.00%,n/a,1,0.00%,
23/09/2016,($275.00),-0.19%,0.00,1,0.00%,
22/09/2016,$1043.75,0.71%,n/a,1,100.00%,
21/09/2016,($1575.00),-1.06%,0.00,1,0.00%,
20/09/2016,($343.75),-0.23%,0.00,1,0.00%,
19/09/2016,($143.75),-0.10%,0.00,1,0.00%,
18/09/2016,($162.50),-0.11%,0.00,1,0.00%,
17/09/2016,$0.00,0.00%,n/a,1,0.00%,
16/09/2016,$212.50,0.14%,n/a,1,100.00%,
15/09/2016,$43.75,0.03%,n/a,1,100.00%,
14/09/2016,($1193.75),-0.80%,0.00,1,0.00%,
13/09/2016,$1812.50,1.22%,n/a,1,100.00%,
12/09/2016,($1100.00),-0.74%,0.00,1,0.00%,
11/09/2016,($325.00),-0.22%,0.00,1,0.00%,
10/09/2016,$0.00,0.00%,n/a,1,0.00%,
09/09/2016,$712.50,0.48%,n/a,1,100.00%,
08/09/2016,$600.00,0.40%,n/a,1,100.00%,
07/09/2016,$381.25,0.26%,n/a,1,100.00%,
06/09/2016,($2862.50),-1.90%,0.00,1,0.00%,
05/09/2016,$388.75,0.26%,n/a,1,100.00%,
01/09/2016,$101.25,0.07%,n/a,1,100.00%,
31/08/2016,$168.75,0.11%,n/a,1,100.00%,
30/08/2016,$956.25,0.64%,n/a,1,100.00%,
29/08/2016,$131.25,0.09%,n/a,1,100.00%,
28/08/2016,$400.00,0.27%,n/a,1,100.00%,
27/08/2016,$0.00,0.00%,n/a,1,0.00%,
26/08/2016,$1568.75,1.07%,n/a,1,100.00%,
25/08/2016,$43.75,0.03%,n/a,1,100.00%,
24/08/2016,$168.75,0.11%,n/a,1,100.00%,
23/08/2016,$181.25,0.12%,n/a,1,100.00%,
22/08/2016,($673.75),-0.46%,0.00,1,0.00%,
16/08/2016,($1030.00),-0.69%,0.00,1,0.00%,
15/08/2016,($593.75),-0.40%,0.00,1,0.00%,
14/08/2016,$143.75,0.10%,n/a,1,100.00%,
13/08/2016,$0.00,0.00%,n/a,1,0.00%,
12/08/2016,($993.75),-0.66%,0.00,1,0.00%,
11/08/2016,$1056.25,0.71%,n/a,1,100.00%,
10/08/2016,($106.25),-0.07%,0.00,1,0.00%,
09/08/2016,($1393.75),-0.93%,0.00,1,0.00%,
08/08/2016,$418.75,0.28%,n/a,1,100.00%,
07/08/2016,$418.75,0.28%,n/a,1,100.00%,
06/08/2016,$0.00,0.00%,n/a,1,0.00%,
05/08/2016,($198.75),-0.13%,0.00,1,0.00%,
03/08/2016,($23.75),-0.02%,0.00,1,0.00%,
02/08/2016,$1606.25,1.09%,n/a,1,100.00%,
01/08/2016,($75.00),-0.05%,0.00,1,0.00%,
31/07/2016,($493.75),-0.33%,0.00,1,0.00%,
30/07/2016,$0.00,0.00%,n/a,1,0.00%,
29/07/2016,$2231.25,1.52%,n/a,1,100.00%,
28/07/2016,$1268.75,0.87%,n/a,1,100.00%,
27/07/2016,$0.00,0.00%,n/a,1,0.00%,
26/07/2016,($337.50),-0.23%,0.00,1,0.00%,
25/07/2016,$1856.25,1.29%,n/a,1,100.00%,
24/07/2016,($525.00),-0.36%,0.00,1,0.00%,
23/07/2016,$0.00,0.00%,n/a,1,0.00%,
22/07/2016,($231.25),-0.16%,0.00,1,0.00%,
21/07/2016,($261.25),-0.18%,0.00,1,0.00%,
13/07/2016,($23.75),-0.02%,0.00,1,0.00%,
12/07/2016,$1650.00,1.15%,n/a,1,100.00%,
11/07/2016,$1751.25,1.24%,n/a,1,100.00%,
05/07/2016,($780.00),-0.55%,0.00,1,0.00%,
04/07/2016,($550.00),-0.39%,0.00,1,0.00%,
03/07/2016,$150.00,0.11%,n/a,1,100.00%,
02/07/2016,$0.00,0.00%,n/a,1,0.00%,
01/07/2016,($406.25),-0.28%,0.00,1,0.00%,
30/06/2016,$218.75,0.15%,n/a,1,100.00%,
29/06/2016,$45.00,0.03%,n/a,1,100.00%,
24/06/2016,$2838.75,2.03%,n/a,1,100.00%,
23/06/2016,($31.25),-0.02%,0.00,1,0.00%,
22/06/2016,($217.50),-0.16%,0.00,1,0.00%,
20/06/2016,($111.25),-0.08%,0.00,1,0.00%,
19/06/2016,($481.25),-0.34%,0.00,1,0.00%,
18/06/2016,$0.00,0.00%,n/a,1,0.00%,
17/06/2016,$443.75,0.32%,n/a,1,100.00%,
16/06/2016,$1193.75,0.86%,n/a,1,100.00%,
15/06/2016,$612.50,0.44%,n/a,1,100.00%,
14/06/2016,($143.75),-0.10%,0.00,1,0.00%,
13/06/2016,$37.50,0.03%,n/a,1,100.00%,
12/06/2016,$943.75,0.69%,n/a,1,100.00%,
11/06/2016,$0.00,0.00%,n/a,1,0.00%,
10/06/2016,$82.50,0.06%,n/a,1,100.00%,
07/06/2016,($242.50),-0.18%,0.00,1,0.00%,
06/06/2016,($887.50),-0.64%,0.00,1,0.00%,
05/06/2016,($287.50),-0.21%,0.00,1,0.00%,
04/06/2016,$0.00,0.00%,n/a,1,0.00%,
03/06/2016,$2593.75,1.90%,n/a,1,100.00%,
02/06/2016,$300.00,0.22%,n/a,1,100.00%,
01/06/2016,$1543.75,1.15%,n/a,1,100.00%,
31/05/2016,$393.75,0.29%,n/a,1,100.00%,
30/05/2016,($256.25),-0.19%,0.00,1,0.00%,
29/05/2016,($568.75),-0.42%,0.00,1,0.00%,
28/05/2016,$0.00,0.00%,n/a,1,0.00%,
27/05/2016,($443.75),-0.33%,0.00,1,0.00%,
26/05/2016,($131.25),-0.10%,0.00,1,0.00%,
25/05/2016,$443.75,0.33%,n/a,1,100.00%,
24/05/2016,($806.25),-0.59%,0.00,1,0.00%,
23/05/2016,($53.75),-0.04%,0.00,2,0.00%,
22/05/2016,($375.00),-0.28%,0.00,1,0.00%,
21/05/2016,$0.00,0.00%,n/a,1,0.00%,
20/05/2016,$100.00,0.07%,n/a,1,100.00%,
19/05/2016,($118.75),-0.09%,0.00,1,0.00%,
18/05/2016,$1037.50,0.77%,n/a,1,100.00%,
17/05/2016,$143.75,0.11%,n/a,1,100.00%,
16/05/2016,$143.75,0.11%,n/a,1,100.00%,
15/05/2016,$237.50,0.18%,n/a,1,100.00%,
14/05/2016,$0.00,0.00%,n/a,1,0.00%,
13/05/2016,($256.25),-0.19%,0.00,1,0.00%,
12/05/2016,$518.75,0.39%,n/a,1,100.00%,
11/05/2016,($381.25),-0.28%,0.00,1,0.00%,
10/05/2016,$106.25,0.08%,n/a,1,100.00%,
09/05/2016,$1500.00,1.13%,n/a,1,100.00%,
08/05/2016,$181.25,0.14%,n/a,1,100.00%,
07/05/2016,$0.00,0.00%,n/a,1,0.00%,
06/05/2016,($6.25),0.00%,0.00,1,0.00%,
05/05/2016,($37.50),-0.03%,0.00,1,0.00%,
04/05/2016,$7.50,0.01%,n/a,1,100.00%,
03/05/2016,($798.75),-0.60%,0.00,1,0.00%,
02/05/2016,$256.25,0.19%,n/a,1,100.00%,
01/05/2016,$62.50,0.05%,n/a,1,100.00%,
30/04/2016,$0.00,0.00%,n/a,1,0.00%,
29/04/2016,$981.25,0.74%,n/a,1,100.00%,
28/04/2016,$1663.75,1.27%,n/a,1,100.00%,
26/04/2016,($298.75),-0.23%,0.00,1,0.00%,
25/04/2016,($12.50),-0.01%,0.00,1,0.00%,
24/04/2016,($650.00),-0.49%,0.00,1,0.00%,
23/04/2016,$0.00,0.00%,n/a,1,0.00%,
22/04/2016,$2456.25,1.90%,n/a,1,100.00%,
21/04/2016,($381.25),-0.29%,0.00,1,0.00%,
20/04/2016,$825.00,0.64%,n/a,1,100.00%,
19/04/2016,($62.50),-0.05%,0.00,1,0.00%,
18/04/2016,$1162.50,0.91%,n/a,1,100.00%,
17/04/2016,($831.25),-0.65%,0.00,1,0.00%,
16/04/2016,$0.00,0.00%,n/a,1,0.00%,
15/04/2016,($950.00),-0.73%,0.00,1,0.00%,
14/04/2016,$250.00,0.19%,n/a,1,100.00%,
13/04/2016,$643.75,0.50%,n/a,1,100.00%,
12/04/2016,$245.00,0.19%,n/a,1,100.00%,
08/04/2016,($11.25),-0.01%,0.00,1,0.00%,
07/04/2016,$606.25,0.47%,n/a,1,100.00%,
06/04/2016,$1050.00,0.83%,n/a,1,100.00%,
05/04/2016,$368.75,0.29%,n/a,1,100.00%,
04/04/2016,$562.50,0.45%,n/a,1,100.00%,
03/04/2016,$381.25,0.30%,n/a,1,100.00%,
02/04/2016,$0.00,0.00%,n/a,1,0.00%,
01/04/2016,$350.00,0.28%,n/a,1,100.00%,
31/03/2016,$212.50,0.17%,n/a,1,100.00%,
30/03/2016,$250.00,0.20%,n/a,1,100.00%,
29/03/2016,$26.25,0.02%,n/a,1,100.00%,
23/03/2016,($523.75),-0.42%,0.00,1,0.00%,
22/03/2016,($212.50),-0.17%,0.00,1,0.00%,
21/03/2016,($762.50),-0.60%,0.00,1,0.00%,
20/03/2016,$206.25,0.16%,n/a,1,100.00%,
19/03/2016,$0.00,0.00%,n/a,1,0.00%,
18/03/2016,($475.00),-0.38%,0.00,1,0.00%,
17/03/2016,$1687.50,1.35%,n/a,1,100.00%,
16/03/2016,$650.00,0.52%,n/a,1,100.00%,
15/03/2016,$300.00,0.24%,n/a,1,100.00%,
14/03/2016,$175.00,0.14%,n/a,1,100.00%,
13/03/2016,($68.75),-0.06%,0.00,1,0.00%,
12/03/2016,$0.00,0.00%,n/a,1,0.00%,
11/03/2016,($681.25),-0.55%,0.00,1,0.00%,
10/03/2016,($280.00),-0.22%,0.00,1,0.00%,
09/03/2016,($11.25),-0.01%,0.00,1,0.00%,
08/03/2016,($200.00),-0.16%,0.00,1,0.00%,
07/03/2016,($775.00),-0.62%,0.00,1,0.00%,
06/03/2016,($112.50),-0.09%,0.00,1,0.00%,
05/03/2016,$0.00,0.00%,n/a,1,0.00%,
04/03/2016,$106.25,0.08%,n/a,1,100.00%,
03/03/2016,($100.00),-0.08%,0.00,1,0.00%,
02/03/2016,($218.75),-0.17%,0.00,1,0.00%,
01/03/2016,$1587.50,1.28%,n/a,1,100.00%,
29/02/2016,($1006.25),-0.80%,0.00,1,0.00%,
28/02/2016,($600.00),-0.48%,0.00,1,0.00%,
27/02/2016,$0.00,0.00%,n/a,1,0.00%,
26/02/2016,$1087.50,0.87%,n/a,1,100.00%,
25/02/2016,$95.00,0.08%,n/a,1,100.00%,
24/02/2016,($23.75),-0.02%,0.00,1,0.00%,
23/02/2016,($268.75),-0.21%,0.00,1,0.00%,
22/02/2016,($693.75),-0.55%,0.00,1,0.00%,
21/02/2016,$225.00,0.18%,n/a,1,100.00%,
20/02/2016,$0.00,0.00%,n/a,1,0.00%,
19/02/2016,($225.00),-0.18%,0.00,1,0.00%,
18/02/2016,($1031.25),-0.81%,0.00,1,0.00%,
17/02/2016,($50.00),-0.04%,0.00,1,0.00%,
16/02/2016,($593.75),-0.47%,0.00,1,0.00%,
15/02/2016,$801.25,0.63%,n/a,1,100.00%,
02/02/2016,($455.00),-0.36%,0.00,1,0.00%,
01/02/2016,($356.25),-0.28%,0.00,1,0.00%,
31/01/2016,$137.50,0.11%,n/a,1,100.00%,
30/01/2016,$0.00,0.00%,n/a,1,0.00%,
29/01/2016,$2162.50,1.73%,n/a,1,100.00%,
28/01/2016,($168.75),-0.13%,0.00,1,0.00%,
27/01/2016,$518.75,0.42%,n/a,1,100.00%,
26/01/2016,($178.75),-0.14%,0.00,2,0.00%,
25/01/2016,$468.75,0.38%,n/a,1,100.00%,
24/01/2016,($25.00),-0.02%,0.00,1,0.00%,
23/01/2016,$0.00,0.00%,n/a,1,0.00%,
22/01/2016,($756.25),-0.60%,0.00,1,0.00%,
21/01/2016,($456.25),-0.36%,0.00,1,0.00%,
20/01/2016,($150.00),-0.12%,0.00,1,0.00%,
19/01/2016,$100.00,0.08%,n/a,1,100.00%,
18/01/2016,($81.25),-0.06%,0.00,1,0.00%,
17/01/2016,($231.25),-0.18%,0.00,1,0.00%,
16/01/2016,$0.00,0.00%,n/a,1,0.00%,
15/01/2016,$843.75,0.67%,n/a,1,100.00%,
14/01/2016,($431.25),-0.34%,0.00,1,0.00%,
13/01/2016,$115.00,0.09%,11.22,2,50.00%,
12/01/2016,($656.25),-0.52%,0.00,1,0.00%,
11/01/2016,($287.50),-0.23%,0.00,1,0.00%,
10/01/2016,$12.50,0.01%,n/a,1,100.00%,
09/01/2016,$0.00,0.00%,n/a,1,0.00%,
08/01/2016,$843.75,0.67%,n/a,1,100.00%,
07/01/2016,($212.50),-0.17%,0.00,1,0.00%,
06/01/2016,$462.50,0.37%,n/a,1,100.00%,
05/01/2016,$993.75,0.80%,n/a,1,100.00%,
04/01/2016,$150.00,0.12%,n/a,1,100.00%,
03/01/2016,$387.50,0.31%,n/a,1,100.00%,
02/01/2016,$0.00,0.00%,n/a,1,0.00%,
01/01/2016,$0.00,0.00%,n/a,1,0.00%,
31/12/2015,$132.50,0.11%,n/a,1,100.00%,
16/12/2015,($105.00),-0.08%,0.00,1,0.00%,
15/12/2015,($593.75),-0.48%,0.00,1,0.00%,
14/12/2015,$25.00,0.02%,n/a,1,100.00%,
13/12/2015,($31.25),-0.03%,0.00,1,0.00%,
12/12/2015,$0.00,0.00%,n/a,1,0.00%,
11/12/2015,$900.00,0.73%,n/a,1,100.00%,
10/12/2015,($437.50),-0.35%,0.00,1,0.00%,
09/12/2015,$1018.75,0.83%,n/a,1,100.00%,
08/12/2015,$293.75,0.24%,n/a,1,100.00%,
07/12/2015,$137.50,0.11%,n/a,1,100.00%,
06/12/2015,($156.25),-0.13%,0.00,1,0.00%,
05/12/2015,$0.00,0.00%,n/a,1,0.00%,
04/12/2015,($425.00),-0.35%,0.00,1,0.00%,
03/12/2015,$612.50,0.50%,n/a,1,100.00%,
02/12/2015,($281.25),-0.23%,0.00,1,0.00%,
01/12/2015,($212.50),-0.17%,0.00,1,0.00%,
30/11/2015,($6.25),-0.01%,0.00,1,0.00%,
29/11/2015,$100.00,0.08%,n/a,1,100.00%,
28/11/2015,$0.00,0.00%,n/a,1,0.00%,
27/11/2015,($225.00),-0.18%,0.00,1,0.00%,
26/11/2015,$12.50,0.01%,n/a,1,100.00%,
25/11/2015,($287.50),-0.23%,0.00,1,0.00%,
24/11/2015,$412.50,0.34%,n/a,1,100.00%,
23/11/2015,$393.75,0.32%,n/a,1,100.00%,
22/11/2015,($356.25),-0.29%,0.00,1,0.00%,
21/11/2015,$0.00,0.00%,n/a,1,0.00%,
20/11/2015,$75.00,0.06%,n/a,1,100.00%,
19/11/2015,$443.75,0.36%,n/a,1,100.00%,
18/11/2015,($18.75),-0.02%,0.00,1,0.00%,
17/11/2015,($56.25),-0.05%,0.00,1,0.00%,
16/11/2015,($725.00),-0.59%,0.00,1,0.00%,
15/11/2015,$62.50,0.05%,n/a,1,100.00%,
14/11/2015,$0.00,0.00%,n/a,1,0.00%,
13/11/2015,$56.25,0.05%,n/a,1,100.00%,
12/11/2015,$107.50,0.09%,n/a,1,100.00%,
06/11/2015,($948.75),-0.77%,0.00,1,0.00%,
05/11/2015,($225.00),-0.18%,0.00,1,0.00%,
04/11/2015,($125.00),-0.10%,0.00,1,0.00%,
03/11/2015,($481.25),-0.39%,0.00,1,0.00%,
02/11/2015,($287.50),-0.23%,0.00,1,0.00%,
01/11/2015,$193.75,0.16%,n/a,1,100.00%,
31/10/2015,$0.00,0.00%,n/a,1,0.00%,
30/10/2015,$281.25,0.23%,n/a,1,100.00%,
29/10/2015,($206.25),-0.17%,0.00,1,0.00%,
28/10/2015,($225.00),-0.18%,0.00,1,0.00%,
